GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,2086613,-240333,1846280,-295136
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,568898,-149962,412646,213348
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,421571,68121,489692,10177
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,1553157,560827,2113984,470989
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,2134123,-186586,1947537,-262731
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,725979,129069,855048,92210
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,3457451,91138,3548589,60695
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,898648,160274,1058922,357531
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,649351,305237,954588,327152
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,1888384,294806,2183190,320851
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,507244,168991,676235,-253642
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,1129997,357300,1487297,219948
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,560557,206638,767195,-110572
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,598720,225168,823888,218456
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,1429598,49121,1478719,-221190
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,605198,2216,607414,96302
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,1676201,143077,1819278,-310062
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,458775,95918,554693,-82756
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,1010756,199144,1209900,-117286
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,1180629,-235065,945564,-8654
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,854724,26369,881093,-64433
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,767697,608636,1376333,206447
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,885146,333012,1218158,86682
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,759409,439145,1198554,-168449
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,199982,185850,385832,-96989
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,492611,235704,728315,83104
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,604153,252246,856399,-49810
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,373501,-97749,275752,45137
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,1163972,96088,1260060,-92528
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,935474,-5561,929913,108033
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,736818,57668,794486,232128
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,644604,9175,653779,219409
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,2268894,331573,2600467,171821
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,1088431,564143,1652574,801758
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,1895132,1525427,3420559,414640
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,1434261,235374,1669635,-209440
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,2157813,626199,2784012,602073
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,2289609,-17234,2272375,-368304
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,1697981,647203,2345184,265762
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,503931,214139,718070,401187
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,2530937,728530,3259467,886461
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,2206358,603880,2810238,462722
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,1166940,415504,1582444,318773
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,805824,277823,1083647,737733
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,1181238,464420,1645658,420463
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,1933960,817989,2751949,538085
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,1240377,854395,2094772,727012
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,181120,387520,568640,691345
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,537589,123524,661113,-153451
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,799962,412653,1212615,193778
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,866604,260435,1127039,-304502
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,1315291,251719,1567010,53497
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,1193755,-62514,1131241,543586
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,1091504,702006,1793510,343903
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,1595980,442234,2038214,-21170
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,1101080,261066,1362146,472042
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,702138,151596,853734,-248345
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,910296,306183,1172378,330939
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,837506,142830,980336,-500100
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,1736359,68092,1804451,-642672
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,428041,158770,586811,-183818
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,592507,576128,1168635,297113
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,1725516,221502,1947018,380870
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,1704974,197384,1902361,-58512
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,1399458,804448,2203906,312991
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,742506,98590,841096,-51760
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,742420,506640,1249060,323738
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,1369245,452562,1821807,285366
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,841570,321898,1163468,456568
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,1065378,104267,1169645,169913
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,3624816,900702,4525518,53349
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,2090035,426951,2516986,462544
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,2300159,1177627,3477786,437485
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,3074852,-222174,2852678,423586
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,538869,62064,600933,186261
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,1199331,747752,1947083,414231
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,1589361,186452,1775813,301298
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,744888,97393,485875,279459
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,633127,464395,1091712,146371
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,540430,13338,544875,147305
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,2481250,-506766,1974484,115910
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,2450861,310805,2761666,5101
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,912842,460609,1373451,-105846
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,881360,580407,1461767,372794
C. K-8 / 401 - 750,MORRIS,3100,MENDHAM TWP,1219104,734411,1953515,65763
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,1547378,288909,1836287,380007
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,738632,214651,953283,359199
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,1317059,998351,2315410,159982
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,2306764,390950,2697714,417740
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,718130,147726,865856,94432
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,782526,405162,1187688,312277
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,1863300,557903,2421203,553200
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,2754148,370425,3124573,232525
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,375535,99776,475311,-439817
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,921977,612098,1534075,-207879
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,881069,489055,1370124,127209
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,1327351,133873,1461224,-100970
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,254668,123515,378183,173605
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,1205454,-228749,976705,287669
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,7596916,2948564,10545480,473927
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,6156543,1020178,7176721,373288
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,2502310,555451,3057761,-165589
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,1496420,304007,1800427,-217524
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,1580257,255624,1835881,26393
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,1151671,697308,1848979,-89641
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,5848381,946875,6795256,1807992
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,3475637,284752,3760389,587332
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,1197367,435486,1632853,167166
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,1253068,1167790,2420858,-116603
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,2649878,458410,3108288,17826
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,1286267,854224,2140491,966230
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,362687,343510,779301,406036
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,1300943,976834,2277777,212859
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,1342344,92978,1435322,-89615
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,1635808,568462,2204270,647545
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,6756578,1371869,8128447,691436
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,1557349,707943,2265292,993287
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,2814939,1483829,4298768,-134215
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,1478394,920263,2398657,73703
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,4047070,815290,4862360,881076
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,2749193,369861,3119054,-431324
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,5250332,2081109,7331441,-255764
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,4031037,1044583,5075620,340194
