GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,14340,42,16420,52,16127,45,297,284,310,
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,14112,39,15405,43,15629,43,157,146,152,
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,21950,66,24069,65,24145,68,112,107,106,
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,16442,56,17844,56,19925,61,389,356,345,
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,14071,38,14039,31,15433,39,413,409,394,
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,14812,47,16266,51,15173,35,122,114,124,
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,14271,41,13870,30,16716,49,156,162,161,
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,15596,51,15988,50,16487,47,278,284,284,
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,22156,67,17517,54,17450,53,125,149,170,
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,14181,40,15425,44,15453,40,154,151,157,
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,11195,8,11891,8,13921,21,314,284,302,
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,10402,4,10201,2,10924,6,395,406,409,
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,17984,62,,,19398,59,180,171,176,
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,17239,61,18371,61,21202,66,268,257,255,
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,11946,13,12264,12,13415,15,359,364,353,
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,17143,59,18063,59,20405,62,338,321,326,
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,14554,45,15440,46,17705,55,367,356,357,
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,12726,23,12969,22,12511,13,284,308,315,
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,11876,11,12276,13,10691,5,342,333,418,
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,16777,57,17914,58,19147,58,137,138,143,
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,15873,52,18328,60,17463,54,166,146,158,
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,10740,6,12072,9,12421,11,419,402,405,
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,13234,29,11568,6,10261,2,99,118,153,
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,14596,46,14594,37,16700,48,198,200,197,
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,13667,35,13260,23,14071,23,167,182,182,
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,12668,21,12935,20,12826,14,228,230,255,
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,10586,5,10503,4,11431,8,371,369,362,
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,11717,10,12372,14,12406,10,374,365,376,
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,16178,55,15803,49,18305,57,274,278,275,
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,13759,37,14804,40,14713,31,252,250,266,
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,17135,58,17845,57,16965,50,259,263,275,
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,12523,20,13319,25,14214,26,301,313,304,
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,12375,16,12827,17,13564,16,355,358,355,
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,10242,2,11124,5,11125,7,408,385,390,
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,16019,54,15458,47,15206,36,150,164,161,
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,12781,25,13301,24,14532,29,271,261,249,
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,13422,32,15556,48,17293,52,284,263,269,
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,13581,34,14226,34,14915,34,194,185,193,
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,12902,26,12083,10,13804,19,285,315,304,
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,12491,18,12936,21,14118,25,351,349,353,
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,13384,31,14126,32,16083,44,345,335,332,
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,12696,,13356,,14159,,,,,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,12874,,13637,,14532,,,,,
C. K-8 / 401 - 750,,,5. State average - All operating types,13733,,14166,,14781,,,,,
C. K-8 / 401 - 750,,,6. State median - All operating types,13198,,13714,,14080,,,,,
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,15889,59,16626,60,18220,61,774,752,756,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,14003,41,14775,43,14040,32,489,492,541,
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,10414,3,10610,4,13624,25,414,420,416,
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,18171,64,19257,64,20497,64,491,473,467,
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,11551,16,12001,15,12397,14,710,716,763,
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,14110,43,13952,32,14733,37,580,599,600,
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,15242,53,15319,48,17689,58,654,671,672,
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,16548,63,16900,61,17178,55,491,508,523,
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,13317,30,14753,42,15404,42,686,628,631,
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,15019,50,15714,52,18250,62,439,429,416,
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,12852,28,14017,34,13405,22,649,648,656,
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,12570,24,13901,31,15885,44,570,537,506,
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,12778,27,13593,28,13871,29,609,580,618,
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,14011,42,13516,27,11160,5,463,457,605,
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,12257,22,13225,26,13154,18,648,634,622,
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,10661,5,11402,8,12089,10,697,672,695,
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,10981,10,12107,17,12186,11,534,533,532,
