GROUP,CONAME,DIST,DISTNAME,EX121,EX221
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,0,0
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,2088707,1991331
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,283335,277370
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,998350,1056767
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,0,0
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,800000,800000
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,916409,282346
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,87374,0
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,2235189,1805388
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,1592412,576861
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,519616,630593
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,3421372,3422841
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,777246,896218
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,801666,723478
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,504934,535762
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,0,0
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,199657,197027
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,5457794,6622968
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,526806,471045
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,146579,342762
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,1031277,1106116
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,1131009,889082
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,81090,16874
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,1552755,1159604
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,1158445,1408628
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,81237,0
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,1916335,2179345
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,693541,702390
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,191820,0
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,933835,800000
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,159503,102105
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,416685,351267
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,0,0
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,2549317,2500000
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,189392,314266
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,468380,751052
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,4053332,944672
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,134779,471876
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,158457,49606
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,273602,0
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,1447846,2120264
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,617339,534542
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,105678,102911
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,248388,152797
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,0,0
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,66660,0
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,336940,312745
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,236001,357684
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,258397,281725
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,232593,89665
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,406753,541142
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,281689,0
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,294397,288512
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,0,72034
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,265761,912017
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,1466129,1760848
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,208053,302982
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,275955,236796
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,503518,218037
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,982263,649987
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,468028,450000
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,0,0
D. K-8 / 751 +,SUSSEX,2030,HARDYSTON TWP,0,0
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,725960,889721
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,131395,197127
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,13943,0
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,0,0
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,215144,201105
E. K-12 / 0 - 1800,BERGEN,440,BOGOTA BORO,387497,375409
E. K-12 / 0 - 1800,BERGEN,990,CRESSKILL BORO,345538,96323
E. K-12 / 0 - 1800,BERGEN,1360,EMERSON BORO,0,0
E. K-12 / 0 - 1800,BERGEN,3170,MIDLAND PARK BORO,384037,364380
E. K-12 / 0 - 1800,BERGEN,3600,NORTH ARLINGTON BORO,675648,838192
E. K-12 / 0 - 1800,BERGEN,3910,PALISADES PARK,130537,244359
E. K-12 / 0 - 1800,BERGEN,3940,PARK RIDGE BORO,249258,213657
E. K-12 / 0 - 1800,BERGEN,4370,RIDGEFIELD BORO,0,14614
E. K-12 / 0 - 1800,BERGEN,4610,SADDLE BROOK TWP,374463,0
E. K-12 / 0 - 1800,BERGEN,5410,WALDWICK BORO,777316,731672
E. K-12 / 0 - 1800,BERGEN,5430,WALLINGTON BORO,299316,252162
E. K-12 / 0 - 1800,BERGEN,5830,WOOD-RIDGE BORO,446264,579538
E. K-12 / 0 - 1800,BURLINGTON,600,BURLINGTON CITY,595614,529943
E. K-12 / 0 - 1800,BURLINGTON,1520,FLORENCE TWP,1070667,702564
E. K-12 / 0 - 1800,BURLINGTON,3920,PALMYRA BORO,267712,450283
E. K-12 / 0 - 1800,BURLINGTON,4450,RIVERSIDE TWP,335454,399497
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,302713,112272
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,0,0
E. K-12 / 0 - 1800,CAMDEN,3770,OAKLYN BORO,0,0
E. K-12 / 0 - 1800,CAPE MAY,5790,WILDWOOD CITY,0,390880
E. K-12 / 0 - 1800,ESSEX,760,CEDAR GROVE TWP,215048,780062
E. K-12 / 0 - 1800,GLOUCESTER,860,CLAYTON BORO,333748,792876
E. K-12 / 0 - 1800,GLOUCESTER,4020,PAULSBORO BORO,0,73066
E. K-12 / 0 - 1800,GLOUCESTER,4140,PITMAN BORO,439466,213690
E. K-12 / 0 - 1800,GLOUCESTER,5860,WOODBURY CITY,670691,681255
E. K-12 / 0 - 1800,HUDSON,5580,WEEHAWKEN TWP,1181226,852898
E. K-12 / 0 - 1800,MIDDLESEX,1140,DUNELLEN BORO,218213,200000
E. K-12 / 0 - 1800,MIDDLESEX,2150,HIGHLAND PARK BORO,275830,0
E. K-12 / 0 - 1800,MIDDLESEX,4830,SOUTH AMBOY CITY,141152,156788
E. K-12 / 0 - 1800,MIDDLESEX,4970,SPOTSWOOD BORO,390277,0
E. K-12 / 0 - 1800,MONMOUTH,2400,KEANSBURG BORO,3249340,2090313
E. K-12 / 0 - 1800,MONMOUTH,2430,KEYPORT BORO,695693,724607
E. K-12 / 0 - 1800,MONMOUTH,2930,MANASQUAN BORO,63879,0
E. K-12 / 0 - 1800,MORRIS,450,BOONTON TOWN,0,0
E. K-12 / 0 - 1800,MORRIS,630,BUTLER BORO,522167,616509
E. K-12 / 0 - 1800,MORRIS,3460,MOUNTAIN LAKES BORO,843811,677583
E. K-12 / 0 - 1800,OCEAN,4190,PLUMSTED TWP,0,417305
E. K-12 / 0 - 1800,OCEAN,4220,POINT PLEASANT BEACH BORO,240738,202736
E. K-12 / 0 - 1800,PASSAIC,4230,POMPTON LAKES BORO,178570,201118
E. K-12 / 0 - 1800,SALEM,4075,PENNSVILLE,1449,76523
E. K-12 / 0 - 1800,SALEM,4150,PITTSGROVE TWP,0,0
E. K-12 / 0 - 1800,SALEM,4630,SALEM CITY,81864,154358
E. K-12 / 0 - 1800,SALEM,5910,WOODSTOWN-PILESGROVE REG,198929,3225
E. K-12 / 0 - 1800,SOMERSET,490,BOUND BROOK BORO,1188845,1942477
E. K-12 / 0 - 1800,SOMERSET,3000,MANVILLE BORO,250000,0
E. K-12 / 0 - 1800,SUSSEX,2240,HOPATCONG,0,0
E. K-12 / 0 - 1800,SUSSEX,3590,NEWTON TOWN,0,0
E. K-12 / 0 - 1800,UNION,2420,KENILWORTH BORO,106287,43383
E. K-12 / 0 - 1800,WARREN,280,BELVIDERE TOWN,0,0
F. K-12 / 1801 - 3500,ATLANTIC,590,BUENA REGIONAL,1252641,1232568
F. K-12 / 1801 - 3500,BERGEN,890,CLIFFSIDE PARK BORO,914731,2386682
F. K-12 / 1801 - 3500,BERGEN,1130,DUMONT BORO,837225,971552
F. K-12 / 1801 - 3500,BERGEN,1345,ELMWOOD PARK,0,0
F. K-12 / 1801 - 3500,BERGEN,1370,ENGLEWOOD CITY,2393214,4857599
F. K-12 / 1801 - 3500,BERGEN,1760,GLEN ROCK BORO,1293640,1103115
F. K-12 / 1801 - 3500,BERGEN,2080,HASBROUCK HEIGHTS BORO,108320,0
F. K-12 / 1801 - 3500,BERGEN,2620,LEONIA BORO,2159175,2830959
F. K-12 / 1801 - 3500,BERGEN,2740,LODI BOROUGH,587003,1283268
F. K-12 / 1801 - 3500,BERGEN,2860,LYNDHURST TWP,0,0
F. K-12 / 1801 - 3500,BERGEN,2900,MAHWAH TWP,835469,1329796
F. K-12 / 1801 - 3500,BERGEN,3550,NEW MILFORD BORO,1245520,914284
F. K-12 / 1801 - 3500,BERGEN,4310,RAMSEY BORO,2316006,2341639
F. K-12 / 1801 - 3500,BERGEN,4380,RIDGEFIELD PARK TWP,136318,0
F. K-12 / 1801 - 3500,BERGEN,4600,RUTHERFORD BORO,476960,414371
F. K-12 / 1801 - 3500,BERGEN,5755,WESTWOOD REGIONAL,1500000,750000
F. K-12 / 1801 - 3500,BURLINGTON,475,BORDENTOWN REGIONAL,499922,602686
F. K-12 / 1801 - 3500,BURLINGTON,840,CINNAMINSON TWP,2248582,1952548
F. K-12 / 1801 - 3500,BURLINGTON,1060,DELRAN TWP,1322787,1044525
F. K-12 / 1801 - 3500,BURLINGTON,3010,MAPLE SHADE TWP,896795,1136615
F. K-12 / 1801 - 3500,CAMDEN,940,COLLINGSWOOD BORO,2313050,2402196
F. K-12 / 1801 - 3500,CAMDEN,1770,GLOUCESTER CITY,0,0
F. K-12 / 1801 - 3500,CAMDEN,1890,HADDON TWP,0,2063176
F. K-12 / 1801 - 3500,CAMDEN,1900,HADDONFIELD BORO,634165,639307
