GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,12213,18,13158,28,12318,18
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,13525,31,13021,24,12187,15
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,20369,65,18805,62,19762,62
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,16095,49,15944,46,17501,57
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,12502,21,13391,32,13529,34
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,13867,36,14519,38,16549,53
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,13147,28,11952,15,12746,24
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,14499,39,16422,51,15583,46
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,10603,7,11755,13,11656,10
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,10393,4,10560,5,10116,3
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,16484,55,16169,49,15782,48
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,11971,15,12584,18,13352,33
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,16299,53,16014,48,15012,43
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,12163,17,12829,20,12623,23
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,10434,6,11537,11,9770,2
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,10732,10,10632,6,11333,7
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,16978,59,16717,53,16984,55
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,13622,34,14265,36,14546,37
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,12546,22,12838,21,13003,27
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,12968,26,13275,29,12993,26
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,12220,19,13056,25,13182,30
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,12651,23,13351,31,13909,35
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,12659,24,11655,12,12778,25
C. K-8 / 401 - 750,,,1. State average - Operating Type K-8,12103,,12510,,12667,
C. K-8 / 401 - 750,,,2. State median - Operating Type K-8,12267,,12747,,12901,
C. K-8 / 401 - 750,,,5. State average - All operating types,13198,,13599,,13609,
C. K-8 / 401 - 750,,,6. State median - All operating types,12503,,12935,,13019,
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,14176,56,14742,54,15061,55
C. K-8 / 401 - 750,ATLANTIC,3020,MARGATE CITY,15247,59,16200,62,18875,63
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,11293,12,10960,9,11237,13
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,13529,51,14013,48,14255,46
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,14106,55,14956,55,16137,59
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,19865,63,19580,63,18255,62
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,12001,24,12604,27,13045,36
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,13474,48,13985,47,14498,49
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,12215,28,12648,28,12474,25
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,11087,11,11618,15,13040,35
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,12184,27,12421,23,12648,27
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,13109,41,13125,37,11976,19
C. K-8 / 401 - 750,BURLINGTON,1030,DELANCO TWP,12569,35,12533,26,12340,24
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,12299,31,12764,32,11488,15
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,11448,15,11556,13,10496,6
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,10128,6,10782,7,10486,5
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,11793,22,11535,12,11944,18
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,15419,60,15585,60,14981,54
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,11576,18,12974,36,12049,20
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,11568,17,12344,21,11461,14
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,12167,26,12163,20,10909,11
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,11377,13,11958,19,12153,22
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,9909,2,10193,4,10988,12
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,14104,54,15233,57,14750,52
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,11796,23,11784,17,13068,37
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,10035,4,11211,10,10853,8
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,10342,8,10893,8,10879,9
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,10435,10,11355,11,12753,31
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,15706,62,15382,59,16391,60
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,13112,42,13553,43,14141,45
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,13247,44,14539,53,14367,47
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON TOWN,12243,29,13358,39,13503,42
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,14711,58,14263,51,14957,53
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,12975,37,12809,33,12941,33
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,13230,43,14175,50,14606,50
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,12503,34,12712,31,13302,41
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,13512,50,13763,46,14440,48
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,13630,52,13560,44,15284,58
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,15591,61,16070,61,16615,61
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,10343,9,10577,6,9214,1
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,11444,14,11608,14,10901,10
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,13060,39,12652,29,12702,30
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,10320,7,9982,3,9849,2
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,11658,20,12942,35,12964,34
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,12866,36,13283,38,12697,29
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,12136,25,12937,34,13242,40
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,12370,33,11761,16,11907,17
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,12256,30,12493,25,12498,26
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,13076,40,13396,41,12664,28
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,10046,5,9946,2,10048,3
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,11567,16,12373,22,12263,23
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,13268,45,14147,49,14690,51
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,9941,3,10288,5,10779,7
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,9482,1,9671,1,10447,4
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,14529,57,15316,58,15075,56
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,13431,46,13505,42,13152,39
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,13019,38,12694,30,12796,32
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,13679,53,15164,56,13924,43
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,13493,49,14293,52,15164,57
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,13463,47,13608,45,14031,44
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,11745,21,12436,24,13103,38
C. K-8 / 401 - 750,SUSSEX,2030,HARDYSTON TWP,11621,19,11841,18,11717,16
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,12341,32,13376,40,12125,21
D. K-8 / 751 +,,,1. State average - Operating Type K-8,12103,,12510,,12667,
D. K-8 / 751 +,,,2. State median - Operating Type K-8,12267,,12747,,12901,
D. K-8 / 751 +,,,5. State average - All operating types,13198,,13599,,13609,
D. K-8 / 751 +,,,6. State median - All operating types,12503,,12935,,13019,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,10898,18,11133,15,11228,15
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,14379,83,15141,84,16371,86
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,12330,64,12834,64,12997,55
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,10183,7,9898,5,10271,7
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,12148,56,12601,57,13369,64
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,10247,8,10973,11,11230,16
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,10780,16,11638,28,11169,14
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,11953,45,12297,47,12047,36
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,12655,68,12234,44,14311,80
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,11783,41,12473,55,13218,62
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,17195,88,16924,88,16592,87
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,10581,13,10350,7,9603,3
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,15563,86,15668,87,17086,88
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,10742,15,11455,21,11915,33
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,10515,12,11006,12,11029,12
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,11714,39,11497,24,11660,28
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,11161,23,11501,25,11850,31
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,13044,73,13213,71,13619,70
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,11654,38,12130,41,14244,79
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,11457,34,12283,45,12084,37
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,12341,65,12730,61,13063,56
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,13432,76,13771,75,14085,78
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,11834,43,12204,43,13307,63
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,11471,35,11468,22,12096,38
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,12168,57,12653,59,12859,50
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,10425,11,10844,10,11529,23
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,11480,36,11750,32,11758,30
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,15928,87,15125,83,13891,74
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,11262,26,11654,29,12242,42
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,12064,51,12199,42,12226,41
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,12496,67,12821,63,13509,69
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,12255,61,12911,65,12734,47
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,11264,27,11024,14,11397,18
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,9802,5,10090,6,9832,4
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,10339,9,10369,8,9939,5
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,9827,6,10445,9,10564,9
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,11237,24,11722,30,11699,29
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,11300,28,12015,40,10927,11
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,12122,54,12911,65,13743,73
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,11393,32,11927,38,12940,54
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,12768,69,12430,53,12010,35
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,11999,48,12440,54,12901,53
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,8845,1,9013,1,7952,1
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,11977,47,12393,51,12547,46
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,12191,59,12356,50,12113,39
