CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3960,36197123,19798221,17170595,578587,2049039,6432559,5567740,3649895,2748137,4176550,2172810,0,2050083,118300,2093,PASCACK VALLEY REGIONAL,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,4300,39296484,20803269,19399947,819334,583988,6004364,5507514,4360763,3532213,5326672,2399522,0,2732938,0,2366,RAMAPO-INDIAN HILL REG,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,4310,45782829,28461669,27675062,615687,170920,7344077,6083399,4272042,3331276,4558966,1059700,0,1083922,56000,3080,RAMSEY BORO,BERGEN,F. K-12 / 1801 - 3500,3,I,,1,BERGEN
3,4370,31065612,20087653,19260882,368822,457949,4646818,4498928,2539221,1779618,2745421,1149456,0,958558,0,1919,RIDGEFIELD BORO,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,4380,28460938,17061747,16847918,196929,16900,4533600,4446295,3084264,2532789,2854633,1567710,0,893135,0,2188,RIDGEFIELD PARK TWP,BERGEN,F. K-12 / 1801 - 3500,3,DE,,1,BERGEN
3,4390,75500756,46216038,44590015,928306,697717,13333837,11792706,7511638,6255966,8426238,343294,0,1327137,0,5742,RIDGEWOOD VILLAGE,BERGEN,G. K-12 / 3501 +,3,J,,1,BERGEN
3,4405,23069063,13277602,12238654,435621,603327,2980512,2479532,3039185,2573197,2654403,1391569,0,1110304,0,1682,RIVER DELL REGIONAL,BERGEN,H. 7-12 / 9-12,4,I,,1,BERGEN
3,4410,14054503,8844657,8458090,202632,173935,2161574,1860637,1713216,1476316,1335056,725696,0,0,0,1208,RIVER EDGE BORO,BERGEN,A. K-6,1,I,,1,BERGEN
3,4430,17159486,10291088,9848341,343541,99206,2167073,1858355,2427878,1828492,2145058,1130604,0,128390,4800,1420,RIVER VALE TWP,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,4470,6275336,3960899,3844074,83122,33703,884880,731174,768022,622471,597645,299620,16800,44966,0,524,ROCHELLE PARK TWP,BERGEN,C. K-8 / 401 - 750,2,FG,,1,BERGEN
3,4600,32464074,20132346,19141952,617561,372833,3880823,3750134,3843003,3181573,3754233,1605023,0,837796,0,2452,RUTHERFORD BORO,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,4610,22505123,12924429,12450666,283519,190244,3673194,2940515,2591116,2158619,2745966,1473384,0,552874,15145,1732,SADDLE BROOK TWP,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,4620,4907139,2627132,2477687,102545,46900,1345235,961835,439537,384237,457853,149913,0,33766,0,236,SADDLE RIVER BORO,BERGEN,A. K-6,1,J,,1,BERGEN
3,4870,3927026,2053148,1892876,61350,98922,670943,404293,433321,351621,678068,407568,16740,66320,0,239,SOUTH HACKENSACK TWP,BERGEN,B. K-8 / 0 - 400,2,CD,,1,BERGEN
3,5150,67225811,38834448,37718416,862902,253130,11410991,9459947,6775099,5637259,9445754,6042704,0,759519,115000,4015,TEANECK TWP,BERGEN,G. K-12 / 3501 +,3,GH,,1,BERGEN
3,5160,49591923,30703797,29325601,971705,406491,5876108,5495462,6027141,5549848,5757779,3424277,0,1195728,0,3517,TENAFLY BORO,BERGEN,G. K-12 / 3501 +,3,I,,1,BERGEN
3,5330,18183879,10842452,10015773,540229,286450,2880704,2402332,2106229,1683305,2222081,1225546,0,132413,22500,1392,UPPER SADDLE RIVER BORO,BERGEN,D. K-8 / 751 +,2,J,,1,BERGEN
3,5410,22755804,13676897,13020141,455109,201647,3217858,2683643,2659964,2125923,2422047,1349570,0,748329,0,1582,WALDWICK BORO,BERGEN,E. K-12 / 0 - 1800,3,GH,,1,BERGEN
3,5430,12781024,7247731,7082581,163850,1300,1758561,1657111,1651416,1466041,1630728,793350,0,492588,20000,1178,WALLINGTON BORO,BERGEN,E. K-12 / 0 - 1800,3,B,,1,BERGEN
3,5755,40212845,21667729,20849199,457739,360791,7788174,5822376,4891160,4002422,4665821,2229738,0,1199962,43692,2760,WESTWOOD REGIONAL,BERGEN,F. K-12 / 1801 - 3500,3,GH,,1,BERGEN
3,5830,13143601,7303248,7044889,141588,116771,1733512,1274127,1808597,1457318,1781388,909641,0,509981,0,1176,WOOD-RIDGE BORO,BERGEN,E. K-12 / 0 - 1800,3,FG,,1,BERGEN
3,5880,11930336,6597195,6147318,228422,221455,2345641,1827634,1526126,1236114,1393074,653845,0,66499,0,847,WOODCLIFF LAKE BORO,BERGEN,D. K-8 / 751 +,2,J,,1,BERGEN
3,5920,30671664,17673832,16611900,931956,129976,5139799,4411548,4009563,3243130,3746358,534862,0,94615,8000,2305,WYCKOFF TWP,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
5,200,1895525,1086834,1035979,36053,14802,313854,220396,229928,169978,250059,103954,0,14851,0,134,BASS RIVER TWP,BURLINGTON,A. K-6,1,CD,,1,BURLINGTON
5,380,3538239,1972313,1867913,69400,35000,621722,350197,468878,316640,466588,193848,0,3249,2000,271,BEVERLY CITY,BURLINGTON,B. K-8 / 0 - 400,2,B,,1,BURLINGTON
5,475,29070380,15948811,14875911,624211,448689,4693075,4023578,2909650,2386927,4454073,2445535,0,835064,22300,2579,BORDENTOWN REGIONAL,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,600,29406892,16819830,15929386,465149,425295,4874504,4450282,3205872,2623044,3723044,1656754,0,708840,140000,1927,BURLINGTON CITY,BURLINGTON,F. K-12 / 1801 - 3500,3,B,1,1,BURLINGTON
5,605,42307719,26143580,25529099,492294,122187,7188473,7058450,4146660,3298803,3959610,1961255,600612,133553,0,828,BURLINGTON CO SPEC SERV,BURLINGTON,I. CSSD,7,,,1,BURLINGTON
5,610,33291846,17637874,16937116,642390,58368,3386632,3211592,4467883,3612262,6251840,2791254,0,1537342,0,2270,BURLINGTON CO VOCATIONAL,BURLINGTON,J. VOC,8,,,1,BURLINGTON
5,620,46984048,31522835,29499603,745134,1278098,5391524,4717448,4501283,3689926,4914968,591945,0,653438,54519,4082,BURLINGTON TWP,BURLINGTON,G. K-12 / 3501 +,3,FG,,1,BURLINGTON
5,830,6300700,3432652,3241052,162600,29000,1018380,855730,881221,650721,944164,498664,0,3715,0,546,CHESTERFIELD TWP,BURLINGTON,A. K-6,1,GH,,1,BURLINGTON
5,840,32414177,17889171,17086302,568221,234648,5268326,3910703,3606735,3012703,3797563,1779204,0,1487754,21500,2398,CINNAMINSON TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,1030,5096444,2941620,2812375,77850,51395,722155,629330,615746,401825,783179,385560,1000,30946,0,413,DELANCO TWP,BURLINGTON,C. K-8 / 401 - 750,2,CD,,1,BURLINGTON
5,1060,35341921,19128941,17835739,758944,534258,4987425,4251871,3583194,2536892,4984543,979027,0,710743,12954,3064,DELRAN TWP,BURLINGTON,F. K-12 / 1801 - 3500,3,FG,,1,BURLINGTON
5,1250,7846423,5064133,4993633,58500,12000,969625,830876,1000998,873258,777027,440924,0,34640,0,683,EASTAMPTON TWP,BURLINGTON,C. K-8 / 401 - 750,2,FG,,1,BURLINGTON
5,1280,10523766,6240769,6093529,101870,45370,1601677,1370542,1331389,1031372,1241505,636255,0,85009,15000,870,EDGEWATER PARK TWP,BURLINGTON,D. K-8 / 751 +,2,DE,,1,BURLINGTON
5,1420,60526271,37972237,36714513,851294,406430,8273546,6752439,5944811,4960276,7272150,4172164,0,580444,10000,4707,EVESHAM TWP,BURLINGTON,D. K-8 / 751 +,2,I,,1,BURLINGTON
