GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,17.8,12,17.1,19
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,14.2,33,13,45
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,12,55,13.3,43
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,17.4,16,14.9,34
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,13.4,42,18,14
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,20.4,4,16.8,22
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,13.8,36,12.3,55
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,18.2,7,15.9,27
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,12.4,52,17.5,17
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,12.7,48,12.5,51
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,10.6,61,12.4,53
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,14.4,32,14.4,37
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,12,55,16,25
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,17.7,13,15.3,32
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,11.8,58,11.9,56
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,14.6,31,14.4,37
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,16.9,18,18.8,10
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,15,27,13.8,41
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,10.8,60,13.2,44
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,13.5,38,15.8,28
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,12.6,50,13,45
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,17.9,10,16.9,20
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,14.2,33,13,45
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,15.2,26,10.4,60
C. K-8 / 401 - 750,SUSSEX,2030,HARDYSTON TWP,17.2,17,16.7,23
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,13.4,42,16,25
D. K-8 / 751 +,,,K-8 Average,16.1,,16.3,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,18.8,25,18.3,30
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,16.4,53,16,54
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,20.8,8,20.4,12
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,20.8,8,21.2,9
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,15.4,67,15.6,57
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,17.1,42,21.4,8
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,17.4,41,16.5,44
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,19,24,18,34
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,15.1,68,14.8,66
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,13.9,76,16,54
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,19.3,18,12.6,83
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,10.8,88,12.2,85
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,20.4,10,18.5,27
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,16.9,45,16.5,44
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,19.9,12,14,75
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,19.9,12,18.7,22
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,15,69,14.5,68
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,19.8,14,18.5,27
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,19.3,18,15.7,56
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,22.1,6,22.9,4
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,14.6,72,13.7,76
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,14.3,74,12.2,85
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,22.3,4,20.6,11
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,11.8,86,11.1,88
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,19.5,17,19.1,18
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,15,69,15,63
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,18.5,29,17.4,39
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,12.2,84,12.5,84
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,17.8,35,18,34
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,16.3,55,16.1,52
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,13.8,78,13.2,81
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,16.1,60,13.6,79
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,14.5,73,14.5,68
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,13.8,78,14.5,68
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,16.4,53,15.5,59
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,18.5,29,19,19
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,16.3,55,15.5,59
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,16.3,55,14.3,72
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,16.6,51,17.6,37
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,19.2,21,16.2,49
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,16.1,60,15,63
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,13.3,81,14.3,72
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,11.4,87,14.4,71
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,18.7,26,16.9,43
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,16.9,45,17,42
