GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,17591,0.112,0.86,0.028,0,0,0,10.6,118.4,120.8,0.119
K. CHARTER,MONMOUTH,6010,ACADEMY CHARTER HIGH SCHOOL,18691,0.081,0.818,0.101,0,0,0,10.2,70.8,70.8,0.167
K. CHARTER,MONMOUTH,6740,HOPE ACADEMY CS,16546,0.104,0.713,0.182,0,0,0.001,10.1,111.3,63.6,0.028
K. CHARTER,MONMOUTH,7720,THE RED BANK CS,15911,0.43,0.544,0.026,0,0,0,9.5,173,91.1,0.081
E. K-12 / 0 - 1800,MORRIS,450,BOONTON TOWN,21050,0.141,0.639,0.036,0.182,0,0.002,10.2,53.5,100,0.188
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,15615,0.112,0.867,0.021,0,0,0,13.2,115,151.1,0.102
E. K-12 / 0 - 1800,MORRIS,630,BUTLER BORO,18312,0.166,0.597,0.042,0.195,0,0,11.7,77.6,142.3,0.169
G. K-12 / 3501 +,MORRIS,785,SCH DIST OF THE CHATHAMS,14825,0.127,0.851,0.023,0,0,0,14.6,100,154.8,0.148
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,17872,0.123,0.842,0.03,0.004,0,0.001,12.3,76.6,196.9,0.114
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,14964,0.135,0.845,0.019,0,0,0.001,12.8,71.8,190.2,0.126
F. K-12 / 1801 - 3500,MORRIS,1110,DOVER TOWN,15738,0.497,0.307,0.157,0.039,0,0,12.6,114.3,144.1,0.087
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,17538,0.135,0.838,0.027,0,0,0,12.2,71.3,162.9,0.148
D. K-8 / 751 +,MORRIS,1530,FLORHAM PARK BORO,17475,0.115,0.819,0.023,0.003,0,0.04,11.7,66.9,173.8,0.107
H. 7-12 / 9-12,MORRIS,1990,HANOVER PARK REGIONAL,22469,0.115,0.869,0.016,0,0,0,11.5,72.9,105.7,0.130
D. K-8 / 751 +,MORRIS,2000,HANOVER TWP,15768,0.113,0.862,0.025,0,0,0,12.3,65.7,171.6,0.099
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,24404,0.088,0.888,0.021,0.004,0,0,9.2,48.8,104,0.118
G. K-12 / 3501 +,MORRIS,2380,JEFFERSON TWP,16723,0.315,0.62,0.063,0.001,0,0.001,12.8,73,155.2,0.143
F. K-12 / 1801 - 3500,MORRIS,2460,KINNELON BORO,17615,0.135,0.838,0.025,0.002,0,0,13.7,68.8,139.4,0.106
D. K-8 / 751 +,MORRIS,2650,LINCOLN PARK BORO,17075,0.15,0.821,0.028,0.001,0,0,11.9,83.5,177,0.106
F. K-12 / 1801 - 3500,MORRIS,2870,MADISON BORO,18072,0.123,0.817,0.019,0.037,0,0.004,12.2,57.4,148.7,0.118
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,16528,0.114,0.863,0.023,0,0,0,11.8,95.3,111.2,0.088
D. K-8 / 751 +,MORRIS,3100,MENDHAM TWP,20288,0.112,0.867,0.02,0,0,0.001,11.2,69,149.5,0.119
A. K-6,MORRIS,3240,MINE HILL TWP,15310,0.271,0.66,0.068,0.001,0,0,13.1,77.7,207.2,0.062
G. K-12 / 3501 +,MORRIS,3340,MONTVILLE TWP,16663,0.112,0.867,0.02,0.001,0,0,12.1,63,178.8,0.119
J. VOC,MORRIS,3365,MORRIS COUNTY VOCATIONAL,23741,0.139,0.429,0.046,0.386,0,0,12.7,79.5,99.3,0.132
H. 7-12 / 9-12,MORRIS,3370,MORRIS HILLS REGIONAL,22459,0.173,0.795,0.03,0.001,0,0.001,11.6,73,133.5,0.147
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,17989,0.107,0.87,0.017,0.006,0,0,12.2,128.2,160.3,0.083
G. K-12 / 3501 +,MORRIS,3385,MORRIS SCHOOL DISTRICT,20652,0.133,0.785,0.032,0.051,0,0,11.2,60.7,177.9,0.144
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,18051,0.1,0.87,0.028,0.002,0,0,11.1,53.2,189,0.157
G. K-12 / 3501 +,MORRIS,3450,MOUNT OLIVE TWP,17043,0.253,0.699,0.047,0.001,0,0,13.8,87.6,212.5,0.156
E. K-12 / 0 - 1800,MORRIS,3460,MOUNTAIN LAKES BORO,23027,0.103,0.503,0.011,0.383,0,0,10.1,30.4,80.7,0.220
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,15924,0.334,0.568,0.082,0.001,0.015,0,10.4,81.4,190,0.123
G. K-12 / 3501 +,MORRIS,3950,PARSIPPANY-TROY HILLS TWP,18327,0.109,0.865,0.025,0.001,0,0,11.7,67.2,213.9,0.147
D. K-8 / 751 +,MORRIS,4000,LONG HILL TWP,16280,0.134,0.84,0.022,0.004,0,0,13.2,65.2,204.8,0.138
F. K-12 / 1801 - 3500,MORRIS,4080,PEQUANNOCK TWP,15986,0.136,0.836,0.021,0.007,0,0,12.6,66,168.8,0.132
G. K-12 / 3501 +,MORRIS,4330,RANDOLPH TWP,15951,0.224,0.731,0.044,0.001,0,0,12.7,82.7,236,0.134
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,16823,0.106,0.866,0.024,0.003,0,0.001,10.8,72.9,102,0.137
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,12426,0.173,0.759,0.061,0.007,0,0,14.3,82.6,146.9,0.124
D. K-8 / 751 +,MORRIS,4490,ROCKAWAY TWP,19244,0.143,0.815,0.04,0.002,0,0,10.5,45.7,191.5,0.158
G. K-12 / 3501 +,MORRIS,4560,ROXBURY TWP,16784,0.231,0.682,0.048,0.04,0,0,12.4,80.7,178.3,0.124
D. K-8 / 751 +,MORRIS,5520,WASHINGTON TWP,16812,0.243,0.713,0.045,0,0,0,13.4,67.7,195.7,0.152
H. 7-12 / 9-12,MORRIS,5660,WEST MORRIS REGIONAL,18766,0.144,0.823,0.032,0,0,0.001,12.6,79.1,168.1,0.152
D. K-8 / 751 +,MORRIS,5770,WHARTON BORO,15450,0.304,0.565,0.108,0.024,0,0,11.8,81.9,191.2,0.208
K. CHARTER,MORRIS,8050,UNITY CS,15979,0.223,0.752,0.025,0,0,0,10.7,68.7,57.2,0.137
F. K-12 / 1801 - 3500,OCEAN,185,BARNEGAT TWP,17946,0.444,0.464,0.093,0,0,0,12.4,80.4,194.9,0.159
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,21505,0.087,0.852,0.014,0.046,0,0.001,9.2,270,67.5,0.046
A. K-6,OCEAN,230,BEACH HAVEN BORO,22595,0.094,0.834,0.018,0,0.054,0,8,47.5,76,0.039
A. K-6,OCEAN,320,BERKELEY TWP,16358,0.143,0.828,0.029,0,0,0,11.8,68.4,223.3,0.145
G. K-12 / 3501 +,OCEAN,530,BRICK TWP,15514,0.274,0.579,0.056,0.002,0,0.089,12.9,80.4,216.3,0.183
H. 7-12 / 9-12,OCEAN,770,CENTRAL REGIONAL,18539,0.168,0.79,0.039,0.003,0,0,12.6,71.9,129.5,0.186
A. K-6,OCEAN,1150,EAGLESWOOD TWP,18800,0.363,0.576,0.061,0,0,0,9.4,56.9,74,0.135
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,19359,0.132,0.838,0.03,0,0,0,10.5,70.6,94.2,0.071
G. K-12 / 3501 +,OCEAN,2360,JACKSON TWP,14745,0.399,0.516,0.084,0,0,0.001,13.8,89.5,245.6,0.148
G. K-12 / 3501 +,OCEAN,2480,LACEY TWP,15079,0.342,0.58,0.077,0,0,0.001,13.2,105.4,199.6,0.164
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,15258,0.635,0.119,0.237,0.009,0,0,10.7,70,164.2,0.183
G. K-12 / 3501 +,OCEAN,2520,LAKEWOOD TWP,23395,0.327,0.503,0.169,0.001,0,0,11.9,72.3,205.3,0.124
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,19444,0.116,0.825,0.034,0.025,0,0,8.8,64.3,77.9,0.115
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,15976,0.509,0.405,0.084,0.002,0,0,11.6,76.5,167,0.121
A. K-6,OCEAN,2760,LONG BEACH ISLAND,30493,0.122,0.845,0.03,0.003,0,0,8.4,37.3,85.4,0.130
F. K-12 / 1801 - 3500,OCEAN,2940,MANCHESTER TWP,16470,0.2,0.728,0.032,0.04,0,0,11.3,57.7,176.9,0.146
J. VOC,OCEAN,3790,OCEAN COUNTY VOCATIONAL,15893,0.263,0.627,0.052,0.058,0,0,14.5,108.8,158.2,0.205
A. K-6,OCEAN,3800,OCEAN GATE BORO,20302,0.285,0.503,0.104,0,0.106,0.002,10.2,51.6,82.5,0.085
A. K-6,OCEAN,3820,OCEAN TWP,19608,0.417,0.543,0.04,0,0,0,9.6,58.9,132.5,0.160
H. 7-12 / 9-12,OCEAN,4105,PINELANDS REGIONAL,19996,0.392,0.525,0.083,0,0,0,9.6,65.8,107.4,0.189
E. K-12 / 0 - 1800,OCEAN,4190,PLUMSTED TWP,15782,0.47,0.389,0.139,0.002,0,0,11.9,66.8,162.8,0.150
F. K-12 / 1801 - 3500,OCEAN,4210,POINT PLEASANT BORO,13373,0.219,0.724,0.054,0.003,0,0,13.2,97.9,168.7,0.127
E. K-12 / 0 - 1800,OCEAN,4220,POINT PLEASANT BEACH BORO,17388,0.137,0.702,0.03,0.132,0,0,11.8,65.3,122.4,0.111
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,18580,0.24,0.63,0.128,0.002,0,0,10.8,111,222,0.117
H. 7-12 / 9-12,OCEAN,4950,SOUTHERN REGIONAL,19405,0.107,0.728,0.024,0.142,0,0,13.1,81.1,158,0.167
A. K-6,OCEAN,5020,STAFFORD TWP,16601,0.293,0.634,0.069,0.003,0,0.001,13.2,89,184.8,0.154
G. K-12 / 3501 +,OCEAN,5190,TOMS RIVER REGIONAL,13596,0.353,0.556,0.089,0.002,0,0,14.3,118.8,228,0.128
A. K-6,OCEAN,5220,TUCKERTON BORO,16646,0.339,0.572,0.078,0.011,0,0,9.6,56.8,150.5,0.189
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,17951,0.153,0.8,0.047,0,0,0,12.1,69.5,122.4,0.149
G. K-12 / 3501 +,PASSAIC,900,CLIFTON CITY,14980,0.22,0.716,0.061,0,0,0.003,13.8,93.5,201.1,0.115
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,13022,0.478,0.377,0.145,0,0,0,12.8,89,350,0.116
F. K-12 / 1801 - 3500,PASSAIC,2100,HAWTHORNE BORO,15189,0.152,0.813,0.034,0.001,0,0,13.5,81,190.6,0.177
H. 7-12 / 9-12,PASSAIC,2510,LAKELAND REGIONAL,18878,0.242,0.689,0.048,0.021,0,0,12.6,89.4,109.8,0.112
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,14847,0.131,0.832,0.027,0.011,0,0,13.3,62.5,187.4,0.137
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,15194,0.144,0.826,0.03,0,0,0,13.3,73.6,164.4,0.102
G. K-12 / 3501 +,PASSAIC,3970,PASSAIC CITY,19056,0.745,0.076,0.176,0,0,0.003,13,74.5,162,0.125
H. 7-12 / 9-12,PASSAIC,3980,PASSAIC CO MANCHESTER REG,20026,0.343,0.583,0.073,0,0,0.001,12.1,108.1,121.4,0.124
H. 7-12 / 9-12,PASSAIC,3990,PASSAIC VALLEY REGIONAL,18366,0.098,0.88,0.021,0,0,0.001,12.7,105.2,116.9,0.121
J. VOC,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,24770,0.281,0.147,0.098,0.474,0,0,11.2,74.5,83.3,0.148
G. K-12 / 3501 +,PASSAIC,4010,PATERSON CITY,20229,0.744,0.08,0.176,0,0,0,11,68.4,159.9,0.139
E. K-12 / 0 - 1800,PASSAIC,4230,POMPTON LAKES BORO,17384,0.19,0.712,0.041,0.057,0,0,12.5,64.3,116.7,0.137
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,13632,0.58,0.227,0.193,0,0,0,12.3,98.1,220.8,0.133
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,16581,0.214,0.71,0.039,0.034,0.003,0,13.3,72.1,188.6,0.181
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,15331,0.116,0.834,0.037,0,0,0.013,12.8,82.4,144.7,0.090
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,18684,0.239,0.704,0.057,0,0,0,11.4,73.4,190.8,0.108
G. K-12 / 3501 +,PASSAIC,5570,WAYNE TWP,16599,0.117,0.855,0.025,0.003,0,0,12.9,69.6,196.7,0.109
G. K-12 / 3501 +,PASSAIC,5650,WEST MILFORD TWP,17540,0.26,0.681,0.054,0.005,0,0,13.2,67.6,150.3,0.161
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,14260,0.117,0.832,0.05,0,0,0.001,12.3,120.6,155,0.129
K. CHARTER,PASSAIC,6021,COMMUNITY CHARTER SCHOOL OF PATERSON,12606,0.841,0.059,0.1,0,0,0,15.2,162.3,167.9,0.066
K. CHARTER,PASSAIC,6230,CLASSICAL ACADEMY CS OF CLIFTON,8383,0.937,0.034,0.029,0,0,0,11.7,0,64.1,0.000
K. CHARTER,PASSAIC,7503,PATERSON CS FOR SCI/TECH,13031,0.865,0.106,0.029,0,0,0,13.2,88.4,247.6,0.074
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,12946,0.44,0.452,0.108,0,0,0,12.8,73.2,184.4,0.072
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,16357,0.252,0.655,0.079,0.014,0,0,9,104,104,0.077
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,17166,0.209,0.724,0.06,0.007,0,0,8.8,102.4,143.3,0.084
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,15948,0.248,0.694,0.044,0.014,0,0,11.4,268.6,188,0.064
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,20290,0.37,0.559,0.071,0,0,0,10.6,81.3,133.6,0.112
F. K-12 / 1801 - 3500,SALEM,4070,PENNS GRV-CARNEY'S PT REG,16178,0.524,0.245,0.19,0.041,0,0,11.5,89.3,141.8,0.173
F. K-12 / 1801 - 3500,SALEM,4075,PENNSVILLE,16482,0.322,0.592,0.081,0.005,0,0,11.4,67.5,126.1,0.185
F. K-12 / 1801 - 3500,SALEM,4150,PITTSGROVE TWP,15708,0.482,0.346,0.111,0.062,0,0,12.5,78.5,102.4,0.125
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,16012,0.487,0.343,0.143,0.028,0,0,12,78,118.3,0.067
E. K-12 / 0 - 1800,SALEM,4630,SALEM CITY,21936,0.647,0.097,0.176,0.08,0,0,9.1,72.6,77.7,0.166
I. CSSD,SALEM,4635,SALEM CO SPECIAL SERVICE,36371,0.123,0.169,0.003,0.706,0,0,4.8,4.9,29.3,0.886
J. VOC,SALEM,4640,SALEM COUNTY VOCATIONAL,13334,0.522,0.226,0.203,0.048,0,0.001,16.1,135.3,75.2,0.154
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,14126,0.419,0.482,0.091,0.008,0,0,12.1,131.3,262.7,0.140
E. K-12 / 0 - 1800,SALEM,5910,WOODSTOWN-PILESGROVE REG,14013,0.345,0.382,0.08,0.193,0,0,11.8,106.7,135.2,0.127
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,21603,0.103,0.87,0.025,0.003,0,0,9.5,54,121,0.142
G. K-12 / 3501 +,SOMERSET,350,BERNARDS TWP,15937,0.123,0.843,0.026,0.008,0,0,12.7,74.2,190.4,0.114
E. K-12 / 0 - 1800,SOMERSET,490,BOUND BROOK BORO,17012,0.305,0.518,0.122,0.055,0,0,13.4,75.6,137.5,0.118
D. K-8 / 751 +,SOMERSET,510,BRANCHBURG TWP,17625,0.115,0.863,0.019,0.003,0,0,10.5,57.7,169.5,0.143
G. K-12 / 3501 +,SOMERSET,555,BRIDGEWATER-RARITAN REG,16549,0.132,0.842,0.026,0,0,0,11,77.9,213.4,0.133
G. K-12 / 3501 +,SOMERSET,1610,FRANKLIN TWP,18532,0.177,0.789,0.033,0.001,0,0,12.1,102,198.8,0.116
D. K-8 / 751 +,SOMERSET,1810,GREEN BROOK TWP,17224,0.101,0.87,0.019,0.002,0,0.008,11.4,85,193.8,0.105
G. K-12 / 3501 +,SOMERSET,2170,HILLSBOROUGH TWP,15468,0.271,0.669,0.058,0.001,0,0.001,11.7,77.4,210.1,0.135
E. K-12 / 0 - 1800,SOMERSET,3000,MANVILLE BORO,15242,0.274,0.638,0.087,0,0,0.001,12.1,69.4,163,0.193
G. K-12 / 3501 +,SOMERSET,3320,MONTGOMERY TWP,15669,0.117,0.844,0.018,0.001,0.02,0,12.8,100.2,207.6,0.090
F. K-12 / 1801 - 3500,SOMERSET,3670,NORTH PLAINFIELD BORO,17923,0.391,0.457,0.099,0,0.052,0.001,10.7,69.5,160,0.122
J. VOC,SOMERSET,4810,SOMERSET CO VOCATIONAL,36143,0.189,0.724,0.041,0.047,0,0,12.7,62,68.2,0.139
F. K-12 / 1801 - 3500,SOMERSET,4815,SOMERSET HILLS REGIONAL,19257,0.106,0.724,0.017,0.112,0.04,0.001,12.7,71.2,159.8,0.102
F. K-12 / 1801 - 3500,SOMERSET,4820,SOMERVILLE BORO,17287,0.185,0.532,0.06,0.212,0.007,0.004,12.8,81.7,155.8,0.114
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,18232,0.35,0.556,0.094,0,0,0,11.5,69.8,106.5,0.114
D. K-8 / 751 +,SOMERSET,5470,WARREN TWP,19144,0.113,0.864,0.023,0,0,0,10.1,60.1,201.5,0.144
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,18124,0.11,0.873,0.016,0.001,0,0,12.2,76.7,142.6,0.100
H. 7-12 / 9-12,SOMERSET,5550,WATCHUNG HILLS REGIONAL,18579,0.11,0.715,0.015,0.16,0,0,12.4,85.8,128.1,0.151
K. CHARTER,SOMERSET,6018,CENTRAL JERSEY COLLEGE PREP CS,15762,0.562,0.378,0.06,0,0,0,10.1,91.3,91.3,0.105
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,17957,0.232,0.749,0.019,0,0,0,9.9,67.2,108.7,0.163
D. K-8 / 751 +,SUSSEX,640,BYRAM TWP,14262,0.282,0.662,0.055,0.001,0,0,12.7,93.3,180.3,0.146
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,17967,0.268,0.694,0.033,0.004,0,0.001,9.9,76.2,156.3,0.135
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,16350,0.385,0.494,0.116,0.005,0,0,10.3,73.7,129,0.190
A. K-6,SUSSEX,1630,FREDON TWP,15485,0.167,0.776,0.039,0,0,0.018,12.2,86.8,115.7,0.117
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,15523,0.227,0.714,0.049,0,0,0.01,12.1,88,161.3,0.092
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,20814,0.351,0.599,0.051,0,0,0,9.8,44.5,142.5,0.203
A. K-6,SUSSEX,1980,HAMPTON TWP,16254,0.248,0.689,0.063,0,0,0,10.8,88,135,0.103
C. K-8 / 401 - 750,SUSSEX,2030,HARDYSTON TWP,16252,0.261,0.717,0.022,0,0,0,12.7,75.1,185.8,0.160
H. 7-12 / 9-12,SUSSEX,2165,HIGH POINT REGIONAL,21461,0.328,0.609,0.053,0.01,0,0,10.5,71.4,92.6,0.145
F. K-12 / 1801 - 3500,SUSSEX,2240,HOPATCONG,16989,0.382,0.557,0.061,0,0,0,12.5,61,146.4,0.196
H. 7-12 / 9-12,SUSSEX,2465,KITTATINNY REGIONAL,18771,0.338,0.601,0.061,0,0,0,11,82.7,120.6,0.136
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,18083,0.208,0.746,0.034,0.011,0,0.001,13.1,58.1,93,0.161
H. 7-12 / 9-12,SUSSEX,2615,LENAPE VALLEY REGIONAL,17073,0.308,0.618,0.068,0,0.007,0,12.4,75.8,108.8,0.173
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,19355,0.333,0.597,0.07,0,0,0,9.8,56.4,103.3,0.090
E. K-12 / 0 - 1800,SUSSEX,3590,NEWTON TOWN,17049,0.282,0.438,0.081,0.199,0,0,11.9,81.9,155.6,0.123
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,15713,0.463,0.446,0.092,0,0,0,11.5,62.4,82.1,0.178
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,18313,0.255,0.611,0.134,0,0,0,9.6,163,135.8,0.189
G. K-12 / 3501 +,SUSSEX,4960,SPARTA TWP,16460,0.193,0.768,0.038,0.001,0,0,13.2,97.2,217.6,0.104
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,15981,0.283,0.639,0.071,0,0,0.007,11.3,100.3,114.6,0.141
A. K-6,SUSSEX,5040,STILLWATER TWP,15907,0.319,0.601,0.074,0.007,0,0,10.2,99.5,124.4,0.115
D. K-8 / 751 +,SUSSEX,5100,SUSSEX-WANTAGE REGIONAL,16789,0.361,0.562,0.074,0.004,0,0,11.3,65,190.1,0.224
J. VOC,SUSSEX,5110,SUSSEX COUNTY VOCATIONAL,25544,0.361,0.557,0.081,0.001,0,0,9.2,52,87.9,0.287
G. K-12 / 3501 +,SUSSEX,5360,VERNON TWP,18311,0.402,0.531,0.064,0.003,0,0,12.3,75.7,188.5,0.177
H. 7-12 / 9-12,SUSSEX,5435,WALLKILL VALLEY REGIONAL,18938,0.342,0.572,0.066,0,0,0.02,12.8,87.2,85.3,0.170
K. CHARTER,SUSSEX,7850,SUSSEX COUNTY CS FOR TECHNOLOGY,13848,0.374,0.597,0.029,0,0,0,8.6,0,50,0.273
F. K-12 / 1801 - 3500,UNION,310,BERKELEY HEIGHTS TWP,17113,0.118,0.786,0.02,0.076,0,0,12.2,63.3,149.2,0.083
F. K-12 / 1801 - 3500,UNION,850,CLARK TWP,16512,0.144,0.768,0.035,0.053,0,0,12,87.4,156.1,0.100
G. K-12 / 3501 +,UNION,980,CRANFORD TWP,14798,0.132,0.786,0.028,0.053,0,0.001,12,81,171.7,0.147
G. K-12 / 3501 +,UNION,1320,ELIZABETH CITY,20146,0.738,0.104,0.158,0,0,0,10.5,73.5,197.7,0.081
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,16546,0.128,0.838,0.034,0,0,0,13.5,85,163.2,0.132
F. K-12 / 1801 - 3500,UNION,2190,HILLSIDE TWP,17580,0.412,0.473,0.106,0.002,0,0.007,11.7,92.6,101,0.105
E. K-12 / 0 - 1800,UNION,2420,KENILWORTH BORO,16483,0.239,0.697,0.048,0.012,0,0.004,13.1,84.4,138.5,0.114
G. K-12 / 3501 +,UNION,2660,LINDEN CITY,17498,0.246,0.675,0.079,0,0,0,11.4,85.6,168.8,0.141
D. K-8 / 751 +,UNION,3470,MOUNTAINSIDE BORO,14766,0.106,0.847,0.019,0.001,0.026,0.001,12,82.2,171.5,0.087
F. K-12 / 1801 - 3500,UNION,3560,NEW PROVIDENCE BORO,16399,0.111,0.864,0.022,0.002,0,0.001,12.5,73.6,163.1,0.106
G. K-12 / 3501 +,UNION,4160,PLAINFIELD CITY,19572,0.736,0.139,0.123,0.002,0,0,12.7,75.5,168.8,0.114
G. K-12 / 3501 +,UNION,4290,RAHWAY CITY,16516,0.341,0.563,0.095,0.001,0,0,12.2,99.2,166.4,0.145
F. K-12 / 1801 - 3500,UNION,4540,ROSELLE BORO,18806,0.396,0.463,0.141,0,0,0,10.7,74.4,135.9,0.152
F. K-12 / 1801 - 3500,UNION,4550,ROSELLE PARK BORO,16494,0.343,0.553,0.093,0.011,0,0,11.2,63.8,123.6,0.122
G. K-12 / 3501 +,UNION,4670,SCOTCH PLAINS-FANWOOD REG,15567,0.124,0.847,0.024,0,0,0.005,13.8,104.1,213.6,0.125
F. K-12 / 1801 - 3500,UNION,5000,SPRINGFIELD TWP,17145,0.106,0.873,0.021,0.001,0,0,13.3,83.9,130.2,0.135
G. K-12 / 3501 +,UNION,5090,SUMMIT CITY,17938,0.121,0.856,0.023,0,0,0,12.1,81.7,135.9,0.112
J. VOC,UNION,5260,UNION COUNTY VOCATIONAL,15211,0.26,0.306,0.077,0.357,0,0,13.4,131.8,132.9,0.096
G. K-12 / 3501 +,UNION,5290,UNION TWP,15682,0.246,0.672,0.073,0.001,0,0.008,12.9,91.4,196.8,0.121
G. K-12 / 3501 +,UNION,5730,WESTFIELD TOWN,14923,0.129,0.848,0.022,0.001,0,0,13.6,89.6,245.3,0.143
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,18858,0.482,0.423,0.094,0.001,0,0,8.4,100,70,0.129
K. CHARTER,UNION,6033,THE BARACK OBAMA GREEN CHARTER HIGH SCHO,0,0,0,0,0,0,0,0,0,0,0
K. CHARTER,UNION,6217,CENTRAL JERSEY ARTS CS,13039,0.804,0.174,0.022,0,0,0,11.5,115,172.5,0.078
K. CHARTER,UNION,7600,QUEEN CITY ACADEMY CS,13480,0.78,0.164,0.055,0,0,0.001,9.7,93.8,75,0.036
K. CHARTER,UNION,8010,UNION COUNTY TEAMS CS,13620,0.775,0.147,0.078,0,0,0,12.9,0,61.4,0.061
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,18634,0.122,0.831,0.031,0.017,0,0,11.4,131,140.4,0.125
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,14675,0.337,0.566,0.094,0.003,0,0,9.6,73.3,264,0.117
E. K-12 / 0 - 1800,WARREN,280,BELVIDERE TOWN,14418,0.268,0.257,0.066,0.41,0,0,11.3,69.2,121.5,0.179
A. K-6,WARREN,400,BLAIRSTOWN TWP,14498,0.275,0.655,0.07,0,0,0,13.4,61.1,160.5,0.152
A. K-6,WARREN,1620,FRANKLIN TWP,17219,0.224,0.717,0.045,0.013,0,0.001,10.9,74,127.2,0.063
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,15275,0.279,0.655,0.062,0.004,0,0,10.7,116.9,93.5,0.122
D. K-8 / 751 +,WARREN,1785,GREAT MEADOWS REGIONAL,14299,0.318,0.615,0.066,0,0,0.001,12,88.7,207.7,0.104
D. K-8 / 751 +,WARREN,1840,GREENWICH TWP,12592,0.406,0.508,0.085,0.001,0,0,13,76.7,194.8,0.122
F. K-12 / 1801 - 3500,WARREN,1870,HACKETTSTOWN,17159,0.198,0.502,0.063,0.236,0,0.001,12.1,70.5,122.8,0.163
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,16360,0.118,0.829,0.038,0.016,0,0,10.3,64.8,149,0.154
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,16707,0.236,0.699,0.054,0.011,0,0,12.5,62.7,69,0.129
A. K-6,WARREN,2470,KNOWLTON TWP,16991,0.345,0.565,0.086,0.003,0,0.001,10.1,56,147.4,0.107
D. K-8 / 751 +,WARREN,2790,LOPATCONG TWP,12686,0.241,0.694,0.057,0.001,0.008,0,12.3,77.6,198.1,0.126
A. K-6,WARREN,2970,MANSFIELD TWP,14139,0.382,0.487,0.081,0.007,0.044,0,10.9,72.3,236.3,0.141
