GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
G. K-12 / 3501 +,BURLINGTON,5805,WILLINGBORO TWP,17072,0.515,0.348,0.128,0.008,0,0.001,12.1,108.2,127.5,0.132
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,16643,0.344,0.554,0.084,0,0.018,0,10.9,150,83.3,0.193
K. CHARTER,BURLINGTON,6026,RIVERBANK CHARTER SCHOOL OF EXCELLENCE,14146,0.545,0.428,0.028,0,0,0,10.4,73,36.5,0.014
K. CHARTER,BURLINGTON,6044,RENAISSANCE REGIONAL LEADERSHIP CS,0,0,0,0,0,0,0,0,0,0,0
E. K-12 / 0 - 1800,CAMDEN,150,AUDUBON BORO,15500,0.367,0.45,0.076,0.107,0,0,12.6,75.6,155.9,0.168
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,16611,0.233,0.693,0.074,0,0,0,11.9,91,190.6,0.124
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,13062,0.375,0.516,0.109,0,0,0,13.4,86.1,159.9,0.103
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,14462,0.359,0.549,0.09,0.002,0,0,12.4,101.8,181.5,0.150
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,18242,0.348,0.547,0.099,0.006,0,0,8.8,54.8,100.5,0.181
H. 7-12 / 9-12,CAMDEN,390,BLACK HORSE PIKE REGIONAL,16497,0.474,0.422,0.105,0,0,0,14.8,95.9,120.5,0.150
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,14455,0.649,0.211,0.141,0,0,0,12.4,255,306,0.114
G. K-12 / 3501 +,CAMDEN,680,CAMDEN CITY,22698,0.785,0.025,0.188,0.001,0,0.001,9.1,65.9,104.2,0.157
J. VOC,CAMDEN,700,CAMDEN COUNTY VOCATIONAL,20209,0.411,0.293,0.192,0.105,0,0,14.7,90.5,116.8,0.237
G. K-12 / 3501 +,CAMDEN,800,CHERRY HILL TWP,16389,0.144,0.818,0.036,0.002,0,0,13.6,77.8,236.3,0.146
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,17801,0.517,0.337,0.138,0.008,0,0,10.6,86.3,127.3,0.128
F. K-12 / 1801 - 3500,CAMDEN,940,COLLINGSWOOD BORO,17132,0.345,0.44,0.078,0.137,0,0,11.4,76.5,106.7,0.140
H. 7-12 / 9-12,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,16491,0.291,0.646,0.06,0.003,0,0,14,96.9,152.3,0.112
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,19084,0.324,0.604,0.067,0.005,0,0,9.4,70.3,210.8,0.119
F. K-12 / 1801 - 3500,CAMDEN,1770,GLOUCESTER CITY,21528,0.764,0.08,0.133,0.023,0,0,10.3,62.4,161.8,0.168
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,14221,0.464,0.386,0.11,0,0.04,0,12.9,79.1,205.6,0.122
E. K-12 / 0 - 1800,CAMDEN,1880,HADDON HEIGHTS BORO,15911,0.149,0.471,0.031,0.348,0,0.001,11.5,83.3,128,0.111
F. K-12 / 1801 - 3500,CAMDEN,1890,HADDON TWP,15695,0.3,0.621,0.077,0.003,0,0,13.7,89.3,143.8,0.129
F. K-12 / 1801 - 3500,CAMDEN,1900,HADDONFIELD BORO,14920,0.123,0.854,0.017,0.006,0,0,13.7,85.6,163.3,0.134
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,14541,0.352,0.561,0.087,0,0,0,11.1,90.5,215,0.093
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,19105,0.386,0.488,0.126,0,0,0,11,105.6,88,0.100
F. K-12 / 1801 - 3500,CAMDEN,2670,LINDENWOLD BORO,19463,0.546,0.28,0.171,0.002,0,0.001,10.3,74.6,112.5,0.139
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,16121,0.403,0.434,0.157,0.007,0,0,10.9,85,229.5,0.133
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,16969,0.264,0.632,0.102,0.002,0,0,12.5,103.1,180.5,0.133
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,15838,0.358,0.519,0.094,0.028,0,0.001,12.4,97,121.3,0.169
E. K-12 / 0 - 1800,CAMDEN,3770,OAKLYN BORO,15247,0.311,0.498,0.091,0.1,0,0,11.2,108,108,0.139
G. K-12 / 3501 +,CAMDEN,4060,PENNSAUKEN TWP,19186,0.421,0.367,0.13,0.007,0.075,0,12.3,102,198.4,0.185
F. K-12 / 1801 - 3500,CAMDEN,4110,PINE HILL BORO,19049,0.462,0.278,0.114,0.144,0,0.002,10.7,71.2,128.1,0.192
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,15567,0.399,0.487,0.111,0.003,0,0,11.7,75.1,165.2,0.130
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,15479,0.386,0.508,0.105,0,0,0.001,11.3,73.9,134.7,0.109
H. 7-12 / 9-12,CAMDEN,5035,STERLING HIGH SCHOOL DIST,17542,0.375,0.424,0.087,0.114,0,0,13.2,93.5,101.9,0.143
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,15302,0.386,0.477,0.091,0.044,0,0.002,12.6,76,176.2,0.153
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,16671,0.156,0.722,0.05,0,0.073,0,12.8,79.1,183.1,0.126
A. K-6,CAMDEN,5560,WATERFORD TWP,15931,0.413,0.468,0.114,0.005,0,0,12.1,58.3,133.1,0.132
G. K-12 / 3501 +,CAMDEN,5820,WINSLOW TWP,19140,0.461,0.406,0.102,0.03,0,0.001,12.2,68.5,203.8,0.126
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,16191,0.588,0.175,0.21,0,0.027,0,12,77.8,210,0.154
K. CHARTER,CAMDEN,6024,CAMDEN'S PRIDE CHARTER SCHHOL,11784,0.824,0.043,0.133,0,0,0,12.7,0,118.2,0.040
K. CHARTER,CAMDEN,6027,INSTITUTE OF EXCELLENCE CHARTER SCHOOL,10244,0.51,0.429,0.061,0,0,0,18.2,0,0,0.035
K. CHARTER,CAMDEN,6212,CAMDEN ACADEMY CHARTER HS,19724,0.794,0.109,0.096,0,0,0.001,10.3,68.8,165.2,0.086
K. CHARTER,CAMDEN,6215,CAMDEN'S PROMISE CS,22222,0.705,0.212,0.083,0,0,0,8.9,124.7,81.3,0.118
K. CHARTER,CAMDEN,6232,ENVIRONMENT COMMUNITY CS,12525,0.811,0.068,0.121,0,0,0,9.2,153.3,460,0.009
K. CHARTER,CAMDEN,6240,FREEDOM ACADEMY CS,18173,0.831,0.044,0.125,0,0,0,11.6,66,66,0.077
K. CHARTER,CAMDEN,6325,D.U.E. SEASON CS,13990,0.835,0.045,0.12,0,0,0,9.4,159.3,149.4,0.059
K. CHARTER,CAMDEN,7109,LEAP ACADEMY UNIVERSITY CS,15884,0.794,0.076,0.13,0,0,0,13,0,86.4,0.057
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,40152,0.085,0.759,0.015,0.012,0,0.129,4.9,38.3,69,0.087
A. K-6,CAPE MAY,710,CAPE MAY CITY,19100,0.195,0.444,0.351,0.009,0,0.001,9.9,178,111.3,0.118
I. CSSD,CAPE MAY,715,CAPE MAY CO SPECIAL SERV,53537,0.075,0.343,0.014,0.569,0,0,5.7,12.1,45.6,0.887
J. VOC,CAPE MAY,720,CAPE MAY CO VOCATIONAL,25857,0.195,0.521,0.033,0.251,0,0,10.6,178.5,92.7,0.103
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,19104,0.46,0.485,0.054,0.001,0,0,9.4,50.7,106.5,0.149
H. 7-12 / 9-12,CAPE MAY,2820,LOWER CAPE MAY REGIONAL,19486,0.372,0.584,0.044,0,0,0,11.1,85.2,148.8,0.263
A. K-6,CAPE MAY,2840,LOWER TWP,15915,0.391,0.514,0.094,0.001,0,0,13.6,87.4,237.1,0.182
F. K-12 / 1801 - 3500,CAPE MAY,3130,MIDDLE TWP,16188,0.336,0.493,0.069,0.067,0.034,0.001,11.7,88.7,180.9,0.181
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,23354,0.155,0.715,0.039,0.091,0,0,8.5,70.4,83.4,0.104
