GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,172.1,55,129181,74,204.3,20,125000,65
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,228.5,13,129135,73,159.7,63,127344,69
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,162.9,66,133046,76,145.3,77,126534,67
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,213.6,23,154277,88,231.6,11,159495,87
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,154.2,77,142434,80,188.8,32,142588,82
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,265.2,2,145021,84,157,66,131469,75
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,155.9,74,128842,71,446.3,1,130000,73
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,133.1,86,128318,68,97.5,87,114325,43
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,187.8,41,149312,86,171.7,51,145777,84
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,122.7,88,109535,32,134.3,81,104426,22
D. K-8 / 751 +,BURLINGTON,1420,EVESHAM TWP,205.3,30,114410,41,229.8,12,114650,45
D. K-8 / 751 +,BURLINGTON,2850,LUMBERTON TWP,162.7,67,105762,25,153.2,68,107635,23
D. K-8 / 751 +,BURLINGTON,3080,MEDFORD TWP,231.8,10,112443,40,244.2,7,112443,38
D. K-8 / 751 +,BURLINGTON,3430,MOUNT HOLLY TWP,140,82,103200,20,149.6,74,104040,21
D. K-8 / 751 +,BURLINGTON,3440,MOUNT LAUREL TWP,200.1,34,106427,28,179.4,42,108076,24
D. K-8 / 751 +,BURLINGTON,4740,SHAMONG TWP,200,35,76934,1,,,,
D. K-8 / 751 +,BURLINGTON,4930,SOUTHAMPTON TWP,130.2,87,118847,49,127.8,83,112316,37
D. K-8 / 751 +,BURLINGTON,5130,TABERNACLE TWP,165.6,63,96757,9,161.4,58,98692,11
D. K-8 / 751 +,BURLINGTON,5720,WESTAMPTON,182,49,97052,10,198,26,99405,13
D. K-8 / 751 +,CAMDEN,260,BELLMAWR BORO,162.1,68,108365,29,159.1,64,111399,34
D. K-8 / 751 +,CAMDEN,330,BERLIN BORO,169.1,58,78192,2,173.6,47,92705,5
D. K-8 / 751 +,CAMDEN,1780,GLOUCESTER TWP,227.1,14,100500,14,239.3,8,98570,10
D. K-8 / 751 +,CAMDEN,4590,RUNNEMEDE BORO,199.3,36,102584,18,171.8,49,99983,14
D. K-8 / 751 +,CAMDEN,5080,STRATFORD BORO,160.6,71,106182,27,161.2,59,108306,25
D. K-8 / 751 +,CAMDEN,5400,VOORHEES TWP,198.1,37,143012,83,193.9,27,130576,74
D. K-8 / 751 +,CAPE MAY,5340,UPPER TWP,175.8,51,95079,7,170.1,52,97028,9
D. K-8 / 751 +,CUMBERLAND,5300,UPPER DEERFIELD TWP,155.5,75,99813,13,160.9,62,103207,18
D. K-8 / 751 +,GLOUCESTER,2750,LOGAN TWP,173.8,54,116567,44,138.9,78,110613,33
D. K-8 / 751 +,HUDSON,1850,GUTTENBERG TOWN,171.7,56,104222,23,168.2,54,114915,46
D. K-8 / 751 +,HUNTERDON,920,CLINTON TWP,162,69,116256,43,228.9,13,117260,49
D. K-8 / 751 +,HUNTERDON,1510,FLEMINGTON-RARITAN REG,168.7,59,111368,36,152.7,70,109683,31
D. K-8 / 751 +,HUNTERDON,4350,READINGTON TWP,195,38,116808,46,161,61,111828,35
D. K-8 / 751 +,MIDDLESEX,2370,JAMESBURG BORO,166.5,61,109869,34,283,5,103830,19
D. K-8 / 751 +,MONMOUTH,945,COLTS NECK TWP,147.1,79,123887,59,121.7,85,128924,72
D. K-8 / 751 +,MONMOUTH,1260,EATONTOWN BORO,175,52,128700,70,151.1,72,108528,26
D. K-8 / 751 +,MONMOUTH,1440,FAIR HAVEN BORO,169.8,57,125279,63,153.1,69,120936,55
D. K-8 / 751 +,MONMOUTH,1640,FREEHOLD BORO,133.6,85,102000,15,189.1,31,108828,28
D. K-8 / 751 +,MONMOUTH,1660,FREEHOLD TWP,202.6,32,116969,47,179.7,41,119889,52
D. K-8 / 751 +,MONMOUTH,2290,HOWELL TWP,217.3,20,139258,78,212.2,19,139258,79
D. K-8 / 751 +,MONMOUTH,2720,LITTLE SILVER BORO,134.5,84,112253,39,138.8,79,114540,44
D. K-8 / 751 +,MONMOUTH,2920,MANALAPAN-ENGLISHTOWN REG,215,22,109548,33,204.3,20,112217,36
D. K-8 / 751 +,MONMOUTH,3030,MARLBORO TWP,206.8,29,124230,62,200.9,24,121048,56
D. K-8 / 751 +,MONMOUTH,3200,MILLSTONE TWP,206.9,28,120533,52,221.8,14,125783,66
D. K-8 / 751 +,MONMOUTH,4360,RED BANK BORO,215.4,21,102098,16,146.7,76,92500,4
D. K-8 / 751 +,MONMOUTH,4570,RUMSON BORO,184.1,48,116588,45,163.8,57,116588,48
D. K-8 / 751 +,MONMOUTH,5185,TINTON FALLS,221.4,17,123916,60,161.2,59,113500,41
D. K-8 / 751 +,MORRIS,820,CHESTER TWP,186,43,120037,50,177,44,124886,64
D. K-8 / 751 +,MORRIS,1090,DENVILLE TWP,165.3,64,111463,37,218.8,15,112867,40
D. K-8 / 751 +,MORRIS,1190,EAST HANOVER TWP,184.2,47,123188,56,150.4,73,127817,71
