CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,3550,26633436,13687241,12975584,569187,142470,4488395,3640075,3673036,3058311,3915826,2040326,0,782948,116500,2029,NEW MILFORD BORO,BERGEN,F. K-12 / 1801 - 3500,3,FG,,1,BERGEN
3,3600,20537062,12179555,11735560,276727,167268,2287320,1798207,2714444,2248513,2505078,1163684,0,524741,0,1696,NORTH ARLINGTON BORO,BERGEN,E. K-12 / 0 - 1800,3,DE,,1,BERGEN
3,3700,21933041,12583516,11819718,633363,130435,3123829,2619445,2022514,1640744,2814404,1384515,0,1352695,64500,1348,NORTHERN HIGHLANDS REG,BERGEN,H. 7-12 / 9-12,5,J,,1,BERGEN
3,3710,43804372,25066333,23398259,1102705,565369,6753163,5793554,5025541,4069950,4664818,2708218,0,2243388,99671,2658,NORTHERN VALLEY REGIONAL,BERGEN,H. 7-12 / 9-12,5,I,,1,BERGEN
3,3730,8203705,4735693,4446707,203603,85383,1511192,1240521,1001680,718576,849259,306879,10000,88174,60968,566,NORTHVALE BORO,BERGEN,C. K-8 / 401 - 750,2,FG,,1,BERGEN
3,3740,8376897,5139591,4785006,303535,51050,1483939,1151958,788526,462804,926354,531740,0,38486,16062,594,NORWOOD BORO,BERGEN,C. K-8 / 401 - 750,2,I,,1,BERGEN
3,3760,23893335,14560969,13906862,586367,67740,3606215,3049451,3220945,2851550,2344262,1439961,0,103789,23306,1692,OAKLAND BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3850,12704501,8036827,7671605,213542,151680,1560627,1197217,1575523,1280618,1432519,382402,0,99006,0,820,OLD TAPPAN BORO,BERGEN,D. K-8 / 751 +,2,I,,1,BERGEN
3,3870,9954231,6085563,5648897,345366,91300,1484324,1236790,1265299,1027458,1076301,596626,0,12556,0,786,ORADELL BORO,BERGEN,A. K-6,1,I,,1,BERGEN
3,3910,19949809,13425428,12522139,661289,242000,1667797,1560036,2293426,1807367,1928548,977548,0,520107,0,1674,PALISADES PARK,BERGEN,E. K-12 / 0 - 1800,3,CD,,1,BERGEN
