CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
CUMBERLAND,3050,MAURICE RIVER TWP,8173449,531.1,15389,16,8039490,553.9,14514,6,"J. K-12|K-8,401-750",JK-12K-8401-750
CUMBERLAND,3230,MILLVILLE CITY,111475704,6474.7,17217,60,113179553,6322.8,17900,58,"N. K-12|K-12,3500+",NK-12K-123500plus
CUMBERLAND,5070,STOW CREEK TWP,1961553,139.3,14081,5,2075033,120.2,17264,23,"C. K-8|K-8,0-400",CK-8K-80-400
CUMBERLAND,5300,UPPER DEERFIELD TWP,15600792,914.8,17054,71,15299463,866.3,17661,70,"E. K-8|K-8,751+",EK-8K-8751plus
CUMBERLAND,5390,VINELAND CITY,200238002,11675.7,17150,58,214090380,11710.6,18282,64,"N. K-12|K-12,3500+",NK-12K-123500plus
CUMBERLAND,6028,VINELAND PUBLIC CHARTER SCHOOL,1531779,147.8,10362,4,1875923,188.3,9965,2,O. CHARTER,OCHARTER
ESSEX,250,BELLEVILLE TOWN,66415045,4622.8,14367,8,66230260,4731.9,13997,3,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,410,BLOOMFIELD TWP,92103030,6052.1,15218,26,97512985,6211.5,15699,22,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,660,CALDWELL-WEST CALDWELL,42554027,2632.7,16163,31,43696598,2601.9,16794,30,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ESSEX,760,CEDAR GROVE TWP,26408464,1530.7,17253,29,27567202,1200.6,22962,44,"L. K-12|K-12,0-1800",LK-12K-120-1800
ESSEX,1210,EAST ORANGE,250310347,11002.8,22750,103,256340781,10862.1,23600,103,"N. K-12|K-12,3500+",NK-12K-123500plus
ESSEX,1390,ESSEX CO VOC-TECH,44349711,2023,21923,13,48161496,2063.8,23336,15,Q. COUNTY VOC,QCOUNTYVOC
ESSEX,1400,ESSEX FELLS BORO,4293364,241.1,17805,43,4483189,204.4,21932,55,A. K-6|K-6,AK-6K-6
ESSEX,1465,FAIRFIELD TWP,10780140,703.1,15332,22,11577126,695.5,16647,27,A. K-6|K-6,AK-6K-6
