GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,69.9,50,53650,13,62.8,49,54250,16
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,78,36,51442,7,76.4,39,53569,13
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,106.6,8,51645,9,87.9,22,52602,9
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,83,29,53910,14,91.8,18,55250,18
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,69.2,52,59513,31,58.9,54,53613,14
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,77.8,38,48480,3,86,25,48830,4
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,80.4,31,51513,8,101,10,50911,6
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,88.4,22,57681,23,90.4,20,65852,42
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,86.3,24,58395,28,97.1,14,58966,28
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,93.9,17,61009,34,95,16,63168,36
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,48.7,64,49897,5,49.5,62,50767,5
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,72.6,47,57973,26,86.7,24,53945,15
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,122.6,5,59827,32,100,11,59948,32
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,82.9,30,66574,45,95.6,15,66574,45
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,155.3,2,55892,20,126,5,59852,31
C. K-8 / 401 - 750,CUMBERLAND,3050,MAURICE RIVER TWP,131.7,4,52138,10,156.7,2,53156,12
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,67.9,53,67810,46,58.1,55,57009,22
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,64.8,56,61976,37,55,58,63911,37
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,65.8,54,50592,6,68.6,45,53132,11
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,86,25,79092,60,54.7,59,76767,58
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,78.5,34,49466,4,78.8,34,71270,52
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,61.6,60,61880,36,57.9,56,63985,38
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,76.1,41,66086,43,93.9,17,59714,30
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,59,61,59374,30,62,50,59244,29
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,65.4,55,57323,21,60.1,53,58796,27
