GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,13.5,11,60420,45,12.9,15,66777,58
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,12.4,29,60849,46,12.4,23,62781,50
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,13.4,13,62291,52,13.8,6,66831,59
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,11.3,42,71676,62,10.3,56,64401,55
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,12.7,22,60000,43,11.8,35,58900,35
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,13.1,16,50800,4,12.6,18,52914,7
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,13.1,16,53198,14,13.1,13,55205,18
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,11.9,34,54410,18,12.3,25,54560,16
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,9.2,64,56063,27,10,60,57563,30
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,10.6,53,52020,9,9.5,63,53450,10
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,11.6,35,59830,41,11.4,38,63923,54
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,16.4,1,61579,50,14.4,3,61029,41
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,13.3,14,55518,24,12.5,20,53524,11
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,12.6,25,52773,10,14.4,3,55660,19
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,9.3,63,66287,58,8.8,65,62437,48
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,11.4,39,53163,13,12.5,20,55973,23
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,11.2,44,50995,5,10.9,46,52172,5
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,14.1,5,67381,59,13.7,7,62751,49
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,9.6,62,58194,35,11.4,38,61520,43
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,10.9,46,51841,8,11.3,41,54353,15
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,10.1,58,62390,54,9.7,61,61733,46
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,10.6,53,55508,23,10.6,52,54992,17
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,11.6,35,58242,36,11.9,33,57467,28
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,9.9,60,58480,37,9.6,62,56990,26
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,11.3,42,61128,47,10.4,55,61880,47
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,10.7,49,52937,11,10.8,50,52483,6
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,10.7,49,54604,20,10.5,53,53895,12
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,10.9,46,57223,31,10.7,51,58723,34
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,10.9,46,58808,38,11,44,61548,44
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,11.4,39,59470,39,12,32,63770,52
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,10.7,49,60405,44,10.3,56,59250,36
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,14.6,4,54534,19,14.8,2,56871,25
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,13.1,16,44437,1,12.3,25,45076,1
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,10.6,53,57600,32,10.9,46,58600,33
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,15.1,3,56850,29,12.6,18,56850,24
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,12,33,56025,26,11.9,33,57080,27
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,11.6,35,53015,12,11.8,35,53015,8
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,14.1,5,51825,7,12.2,31,53919,13
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,10.2,57,58060,34,10.5,53,58060,32
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,13.2,15,69051,61,13.2,11,74861,63
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,12.6,25,55140,22,12.3,25,57550,29
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,12.4,29,56995,30,11.4,38,55682,20
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,15.8,2,55085,21,18,1,53245,9
