GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,308,65,0.023,227,61,0.017,98,63,0.007
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,58,44,0.004,85,49,0.007,77,57,0.006
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,10,11,0.000,175,59,0.005,7,2,0.000
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,17,16,0.001,17,15,0.001,47,43,0.002
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,1,1,0.000,160,56,0.006,43,35,0.002
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,54,41,0.003,79,46,0.004,43,35,0.002
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,63,46,0.005,84,48,0.006,89,61,0.006
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,37,29,0.004,39,29,0.004,34,30,0.003
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,9,10,0.001,30,24,0.002,31,24,0.002
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,4,4,0.000,8,8,0.001,14,5,0.001
B. K-8 / 0 - 400,CUMBERLAND,3050,MAURICE RIVER TWP,11,12,0.001,4,3,0.000,16,9,0.001
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,3,2,0.000,4,3,0.000,8,3,0.001
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,48,37,0.005,31,25,0.003,31,24,0.003
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,,,0.000,57,36,0.005,19,15,0.001
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,4,4,0.000,92,52,0.007,17,12,0.001
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,118,57,0.008,29,23,0.002,123,66,0.009
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,34,28,0.002,49,32,0.004,17,12,0.001
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,38,30,0.002,8,8,0.000,15,7,0.001
