GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,e21,E11,E31
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,11535,14,10973,15,11601,15,626,605,622
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,15585,62,14825,56,14890,50,610,609,616
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,12974,37,12631,34,13083,29,478,485,511
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,12344,23,12457,30,13600,37,422,456,439
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,12163,21,11285,18,12251,23,464,479,485
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,11958,20,10464,9,11069,9,506,472,535
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,10193,5,10357,7,11004,7,430,429,444
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,15233,59,14371,52,15752,58,620,633,600
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,11784,19,12106,22,11810,18,658,665,658
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,11211,12,10206,4,11186,11,618,592,630
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,10893,10,10499,10,11231,12,533,533,531
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,11355,13,12659,36,13251,32,438,449,417
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,15382,61,15864,62,18296,63,497,520,482
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,13553,44,13617,46,14528,46,589,616,582
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,14539,54,14838,57,15740,56,540,555,514
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,13358,40,12813,38,14540,47,509,521,494
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,14263,52,14940,58,15460,52,463,479,475
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,12809,34,13236,42,14206,43,475,501,472
