GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV,CO,OTHER01
G. K-12 / 3501 +,PASSAIC,900,CLIFTON CITY,14193,0.2,0.742,0.057,0,0,0.001,14.2,106.1,233.7,0.115,31,-7.450581E-9
D. K-8 / 751 +,PASSAIC,1920,HALEDON BORO,14801,0.527,0.387,0.085,0,0,0.001,12.6,86.9,341.7,0.114,31,9.313226E-10
F. K-12 / 1801 - 3500,PASSAIC,2100,HAWTHORNE BORO,15334,0.116,0.852,0.032,0,0,0,13.1,74.8,192.2,0.192,31,3.7252903E-9
H. 7-12 / 9-12,PASSAIC,2510,LAKELAND REGIONAL,19107,0.246,0.711,0.017,0.026,0,0,13.7,87,139.2,0.117,31,-9.31323E-10
D. K-8 / 751 +,PASSAIC,2700,LITTLE FALLS TWP,14868,0.094,0.854,0.027,0.018,0,0.007,13.1,63.1,185.6,0.129,31,640
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,15845,0.115,0.864,0.022,0,0,0,13.6,74,165.1,0.092,31,16019
G. K-12 / 3501 +,PASSAIC,3970,PASSAIC CITY,18588,0.848,0.069,0.079,0.001,0,0.003,13,105.3,232.8,0.124,31,99673104
H. 7-12 / 9-12,PASSAIC,3980,PASSAIC CO MANCHESTER REG,21108,0.349,0.587,0.047,0,0.017,0,12.9,123.8,139.3,0.115,31,-9.31323E-10
H. 7-12 / 9-12,PASSAIC,3990,PASSAIC VALLEY REGIONAL,18434,0.078,0.89,0.023,0.008,0,0.001,12.3,115.7,117.9,0.126,31,5712
J. VOC,PASSAIC,3995,PASSAIC COUNTY VOCATIONAL,23256,0.293,0.154,0.061,0.492,0,0,11.7,71,130.6,0.144,31,0
G. K-12 / 3501 +,PASSAIC,4010,PATERSON CITY,19042,0.841,0.08,0.079,0,0,0,11.9,88.2,143.4,0.134,31,3944501
E. K-12 / 0 - 1800,PASSAIC,4230,POMPTON LAKES BORO,18566,0.183,0.733,0.028,0.055,0,0.001,12.4,64.5,117.4,0.132,31,0
D. K-8 / 751 +,PASSAIC,4270,PROSPECT PARK BORO,13512,0.692,0.224,0.085,0,0,0,13.3,85.9,214.8,0.126,31,0
D. K-8 / 751 +,PASSAIC,4400,RINGWOOD BORO,17087,0.192,0.729,0.03,0.045,0.002,0.002,13.3,73.8,183.4,0.171,31,4720
D. K-8 / 751 +,PASSAIC,5200,TOTOWA BORO,14698,0.092,0.876,0.022,0.011,0,0,12.9,73.4,140.6,0.096,31,-9.31323E-10
D. K-8 / 751 +,PASSAIC,5440,WANAQUE BORO,17816,0.221,0.741,0.026,0.012,0,0,11.9,98.7,312.7,0.152,31,20342
G. K-12 / 3501 +,PASSAIC,5570,WAYNE TWP,16789,0.09,0.884,0.025,0.002,0,0,12.8,74.8,197.1,0.112,31,7.4505806E-9
G. K-12 / 3501 +,PASSAIC,5650,WEST MILFORD TWP,17804,0.255,0.708,0.034,0.004,0,0,14.1,71.9,165.8,0.169,31,-7.450581E-9
D. K-8 / 751 +,PASSAIC,5690,WOODLAND PARK,13091,0.1,0.861,0.033,0.006,0,0,12.8,123.4,158.7,0.119,31,0
K. CHARTER,PASSAIC,6021,COMMUNITY CHARTER SCHOOL OF PATERSON,14430,0.071,0.826,0.103,0,0,0,14.5,160,165.5,0.084,80,0
K. CHARTER,PASSAIC,6230,CLASSICAL ACADEMY CS OF CLIFTON,7799,0.077,0.896,0.026,0,0,0.001,13.9,0,67.6,0.000,80,0
K. CHARTER,PASSAIC,7503,PATERSON CS FOR SCI/TECH,15507,0.827,0.098,0.075,0,0,0,12.7,92.4,295.6,0.069,80,0
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,12982,0.504,0.456,0.036,0.004,0,0,12.7,78.7,206.2,0.083,33,0
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,16775,0.292,0.646,0.046,0.016,0,0,8.8,93,93,0.086,33,0
