GROUP,CONAME,DIST,DISTNAME,PP16,RK16,PCT16,PP26,RK26,PCT26,PP36,RK36,PCT36
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,1930,42,0.147,1999,45,0.141,1676,20,0.135
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,1335,10,0.105,1351,11,0.117,1421,10,0.119
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,1408,12,0.122,1485,16,0.143,1587,16,0.145
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,1437,13,0.133,1400,13,0.133,1703,21,0.146
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,1958,44,0.170,1760,25,0.160,2004,36,0.173
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,1900,38,0.122,2321,54,0.157,2409,52,0.162
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,1902,39,0.147,1919,40,0.152,2034,39,0.155
C. K-8 / 401 - 750,CAMDEN,2890,MAGNOLIA BORO,1665,23,0.135,1795,29,0.144,1905,29,0.140
C. K-8 / 401 - 750,CAMDEN,3420,MOUNT EPHRAIM BORO,2117,49,0.174,2177,50,0.193,2264,47,0.185
C. K-8 / 401 - 750,CAMDEN,4790,SOMERDALE BORO,1585,19,0.133,1283,9,0.123,1457,12,0.132
C. K-8 / 401 - 750,CAMDEN,5900,WOODLYNNE BORO,1472,17,0.144,1511,17,0.146,1594,17,0.145
C. K-8 / 401 - 750,CAPE MAY,1080,DENNIS TWP,2217,51,0.146,1986,43,0.138,2187,46,0.139
C. K-8 / 401 - 750,CUMBERLAND,950,COMMERCIAL TWP,1277,8,0.108,1141,5,0.094,1121,2,0.095
C. K-8 / 401 - 750,CUMBERLAND,1460,FAIRFIELD TWP,2065,46,0.184,1119,4,0.110,1372,7,0.123
C. K-8 / 401 - 750,CUMBERLAND,2270,HOPEWELL TWP,1262,6,0.116,1271,7,0.121,1388,8,0.124
C. K-8 / 401 - 750,CUMBERLAND,2570,LAWRENCE TWP,985,1,0.087,965,1,0.076,1182,3,0.089
C. K-8 / 401 - 750,GLOUCESTER,1830,GREENWICH TWP,3031,62,0.197,2911,63,0.183,3297,63,0.180
C. K-8 / 401 - 750,HUNTERDON,20,ALEXANDRIA TWP,2114,48,0.156,2339,55,0.172,2909,60,0.200
C. K-8 / 401 - 750,HUNTERDON,370,BETHLEHEM TWP,2307,53,0.159,2072,47,0.140,2400,51,0.152
C. K-8 / 401 - 750,HUNTERDON,910,CLINTON-GLEN GARDNER,2351,56,0.176,2201,52,0.172,1818,25,0.125
C. K-8 / 401 - 750,HUNTERDON,1040,DELAWARE TWP,1751,29,0.123,2181,51,0.146,2342,49,0.151
C. K-8 / 401 - 750,HUNTERDON,1160,EAST AMWELL TWP,1636,22,0.128,1772,28,0.134,1951,32,0.137
C. K-8 / 401 - 750,HUNTERDON,2220,HOLLAND TWP,2091,47,0.147,1845,33,0.134,1968,33,0.134
C. K-8 / 401 - 750,HUNTERDON,2450,KINGWOOD TWP,1707,26,0.134,1748,24,0.134,1915,30,0.134
C. K-8 / 401 - 750,HUNTERDON,2600,LEBANON TWP,2507,59,0.171,2455,57,0.174,2566,57,0.158
C. K-8 / 401 - 750,HUNTERDON,5180,TEWKSBURY TWP,1841,36,0.134,1986,43,0.144,2317,48,0.148
C. K-8 / 401 - 750,HUNTERDON,5270,UNION TWP,1946,43,0.144,1771,27,0.131,2116,43,0.134
C. K-8 / 401 - 750,MIDDLESEX,970,CRANBURY TWP,2313,54,0.144,2266,53,0.142,2390,50,0.139
C. K-8 / 401 - 750,MIDDLESEX,2370,JAMESBURG BORO,1352,11,0.128,1005,2,0.104,877,1,0.090
C. K-8 / 401 - 750,MIDDLESEX,3220,MILLTOWN BORO,1797,34,0.155,1680,21,0.158,1847,27,0.164
C. K-8 / 401 - 750,MONMOUTH,270,BELMAR BORO,1334,9,0.105,1517,18,0.122,1547,14,0.123
C. K-8 / 401 - 750,MONMOUTH,560,BRIELLE BORO,1219,5,0.122,1392,12,0.144,1790,24,0.161
C. K-8 / 401 - 750,MONMOUTH,3830,OCEANPORT BORO,1699,24,0.131,2367,56,0.187,2615,58,0.192
C. K-8 / 401 - 750,MONMOUTH,4770,SHREWSBURY BORO,1746,28,0.131,1887,39,0.150,2466,54,0.177
C. K-8 / 401 - 750,MONMOUTH,5230,UNION BEACH,1751,29,0.142,1929,41,0.161,1655,19,0.150
C. K-8 / 401 - 750,MONMOUTH,5640,WEST LONG BRANCH BORO,1604,21,0.124,1649,20,0.126,2045,40,0.140
C. K-8 / 401 - 750,MORRIS,460,BOONTON TWP,1266,7,0.108,1315,10,0.107,1352,5,0.108
C. K-8 / 401 - 750,MORRIS,3090,MENDHAM BORO,2171,50,0.174,1831,31,0.153,1851,28,0.156
C. K-8 / 401 - 750,MORRIS,3380,MORRIS PLAINS BORO,1915,40,0.143,1862,34,0.142,1742,22,0.132
C. K-8 / 401 - 750,MORRIS,4480,ROCKAWAY BORO,1454,15,0.146,1681,22,0.174,2029,38,0.191
C. K-8 / 401 - 750,OCEAN,2500,LAKEHURST BORO,1441,14,0.116,1425,14,0.128,1406,9,0.121
C. K-8 / 401 - 750,PASSAIC,420,BLOOMINGDALE BORO,3332,64,0.236,3490,64,0.242,3586,64,0.237
C. K-8 / 401 - 750,PASSAIC,3640,NORTH HALEDON BORO,1157,3,0.112,1462,15,0.136,1570,15,0.147
C. K-8 / 401 - 750,SALEM,60,ALLOWAY TWP,999,2,0.103,1049,3,0.102,1191,4,0.112
C. K-8 / 401 - 750,SOMERSET,240,BEDMINSTER TWP,2412,58,0.157,2479,58,0.158,2550,56,0.164
C. K-8 / 401 - 750,SOMERSET,4850,SOUTH BOUND BROOK,3224,63,0.239,2815,61,0.232,2967,61,0.231
C. K-8 / 401 - 750,SOMERSET,5540,WATCHUNG BORO,2267,52,0.179,1867,35,0.150,2174,45,0.163
C. K-8 / 401 - 750,SUSSEX,90,ANDOVER REG,2317,55,0.153,2131,49,0.152,2063,41,0.150
C. K-8 / 401 - 750,SUSSEX,1560,FRANKFORD TWP,1457,16,0.102,1551,19,0.102,1615,18,0.100
C. K-8 / 401 - 750,SUSSEX,1570,FRANKLIN BORO,1829,35,0.134,1820,30,0.135,1940,31,0.138
C. K-8 / 401 - 750,SUSSEX,1800,GREEN TWP,1773,31,0.143,1841,32,0.151,2087,42,0.157
C. K-8 / 401 - 750,UNION,1710,GARWOOD BORO,1487,18,0.140,1276,8,0.120,1355,6,0.135
C. K-8 / 401 - 750,WARREN,30,ALLAMUCHY TWP,1991,45,0.149,1883,37,0.149,2021,37,0.148
D. K-8 / 751 +,,,1. State average - Operating Type K-8,1825,,,1770,,,1918,,
D. K-8 / 751 +,,,2. State median - Operating Type K-8,1829,,,1817,,,1941,,
D. K-8 / 751 +,,,5. State average - All operating types,2116,,,2029,,,2169,,
D. K-8 / 751 +,,,6. State median - All operating types,1872,,,1827,,,1945,,
D. K-8 / 751 +,ATLANTIC,10,ABSECON CITY,1448,17,0.130,1255,10,0.117,1304,9,0.117
D. K-8 / 751 +,ATLANTIC,570,BRIGANTINE CITY,2143,71,0.142,1996,69,0.127,2271,70,0.132
D. K-8 / 751 +,ATLANTIC,1690,GALLOWAY TWP,2159,72,0.168,1704,47,0.143,1909,48,0.145
D. K-8 / 751 +,ATLANTIC,1940,HAMILTON TWP,1471,19,0.149,1472,24,0.147,1654,29,0.152
D. K-8 / 751 +,ATLANTIC,2680,LINWOOD CITY,1978,59,0.157,1954,65,0.150,2135,65,0.150
D. K-8 / 751 +,ATLANTIC,3720,NORTHFIELD CITY,1302,6,0.119,1146,5,0.106,1276,6,0.110
D. K-8 / 751 +,ATLANTIC,4800,SOMERS POINT CITY,1689,42,0.145,1668,42,0.139,1928,51,0.150
D. K-8 / 751 +,ATLANTIC,5350,VENTNOR CITY,1382,11,0.112,1390,16,0.111,1575,23,0.131
D. K-8 / 751 +,BERGEN,40,ALLENDALE BORO,2234,77,0.183,2232,78,0.182,2525,82,0.173
D. K-8 / 751 +,BERGEN,930,CLOSTER BORO,1812,47,0.145,1762,53,0.140,2027,61,0.150
D. K-8 / 751 +,BERGEN,1230,EAST RUTHERFORD BORO,2418,83,0.143,2344,81,0.159,2713,87,0.165
D. K-8 / 751 +,BERGEN,1470,FAIRVIEW BORO,1134,3,0.110,933,3,0.110,912,1,0.101
D. K-8 / 751 +,BERGEN,1580,FRANKLIN LAKES BORO,2224,76,0.142,2352,82,0.145,2652,85,0.150
D. K-8 / 751 +,BERGEN,2180,HILLSDALE BORO,1795,46,0.157,1927,63,0.163,2195,66,0.174
D. K-8 / 751 +,BERGEN,2710,LITTLE FERRY BORO,1354,9,0.123,1241,9,0.118,1203,4,0.116
D. K-8 / 751 +,BERGEN,3060,MAYWOOD BORO,1660,37,0.144,1646,40,0.147,1491,16,0.132
D. K-8 / 751 +,BERGEN,3330,MONTVALE BORO,1669,39,0.145,1656,41,0.146,1792,39,0.148
D. K-8 / 751 +,BERGEN,3760,OAKLAND BORO,1765,45,0.134,1786,55,0.139,1910,49,0.141
D. K-8 / 751 +,BERGEN,3850,OLD TAPPAN BORO,1525,24,0.126,1634,38,0.130,1833,44,0.124
D. K-8 / 751 +,BERGEN,4430,RIVER VALE TWP,1479,20,0.120,1616,35,0.133,1661,30,0.127
D. K-8 / 751 +,BERGEN,5330,UPPER SADDLE RIVER BORO,2002,62,0.157,2006,73,0.158,2215,67,0.165
D. K-8 / 751 +,BERGEN,5880,WOODCLIFF LAKE BORO,2548,86,0.185,2626,87,0.191,2662,86,0.184
D. K-8 / 751 +,BERGEN,5920,WYCKOFF TWP,2063,68,0.169,1997,70,0.162,2255,68,0.162
D. K-8 / 751 +,BURLINGTON,1280,EDGEWATER PARK TWP,1645,35,0.143,1690,44,0.145,1803,41,0.149
